alias,bucket,examples,task_margin,task_proxy_score,task_score
A,base_correct_control,16,0.0004757494707519072,0.33634660579264164,1.0
A,near_threshold_bad,32,-0.000291835726784484,0.3361194506287575,0.0
A,stubborn_wrong,16,-0.0002963997048937017,0.33585450425744057,0.0
B,base_correct_control,16,-0.008297070002299733,0.3354062307626009,0.0
B,near_threshold_bad,32,0.008737038981053047,0.3381486963480711,1.0
B,stubborn_wrong,16,0.008773536545049865,0.3378774877637625,1.0
C,,64,-0.01060451149896835,0.33393246307969093,0.25
D,base_correct_control,16,0.02178546912909951,0.3395235724747181,1.0
D,near_threshold_bad,32,-0.021346577334043104,0.33216436579823494,0.0
D,stubborn_wrong,16,-0.021510362610570155,0.3318775426596403,0.0
F,base_correct_control,16,-0.0037443984947458375,0.336029389873147,0.125
F,near_threshold_bad,32,0.004768838694872102,0.33735885843634605,0.875
F,stubborn_wrong,16,0.004929192742565647,0.33711956813931465,0.8125
G,base_correct_control,16,-0.0037444632762344554,0.3360293861478567,0.125
G,near_threshold_bad,32,0.004768866750964662,0.3373588565737009,0.875
G,stubborn_wrong,16,0.004929375158098992,0.33711960166692734,0.8125
