alias,bucket,examples,task_margin,task_proxy_score,task_score
A,base_correct_control,20,15.376991868019104,0.8575020939111709,1.0
A,improving_but_unflipped,40,-5.561079251766205,0.08226851768218126,0.0
A,stubborn_wrong_other,20,-6.737568950653076,0.03056827921015017,0.0
A,stubborn_wrong_story_context,20,-5.70599775314331,0.04617091717744941,0.0
B,base_correct_control,20,15.378253984451295,0.8575055360794067,1.0
B,improving_but_unflipped,40,-5.556076419353485,0.08259338395787745,0.0
B,stubborn_wrong_other,20,-6.74466073513031,0.030299414683154852,0.0
B,stubborn_wrong_story_context,20,-5.711272764205932,0.04597513463064438,0.0
C,base_correct_control,20,15.382244777679443,0.8582105606794357,1.0
C,improving_but_unflipped,40,-5.556452214717865,0.0826588844001249,0.0
C,stubborn_wrong_other,20,-6.739774584770203,0.030554203415355898,0.0
C,stubborn_wrong_story_context,20,-5.710156440734863,0.04587001773326982,0.0
D,base_correct_control,20,15.382244801521301,0.8582105994224548,1.0
D,improving_but_unflipped,40,-5.556452286243439,0.0826588771884458,0.0
D,stubborn_wrong_other,20,-6.739774489402771,0.030554188951479776,0.0
D,stubborn_wrong_story_context,20,-5.710156679153442,0.04587003046675235,0.0
F,base_correct_control,20,15.379495310783387,0.8576654940843582,1.0
F,improving_but_unflipped,40,-5.555910992622375,0.08264603059828744,0.0
F,stubborn_wrong_other,20,-6.743237948417663,0.030324980146841728,0.0
F,stubborn_wrong_story_context,20,-5.711277437210083,0.0459313384489203,0.0
G,base_correct_control,20,15.379494905471802,0.8576654940843582,1.0
G,improving_but_unflipped,40,-5.555911207199097,0.08264601114554315,0.0
G,stubborn_wrong_other,20,-6.743238496780395,0.030324960819886025,0.0
G,stubborn_wrong_story_context,20,-5.7112775325775145,0.045931328012317606,0.0
