bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,-1.1955571721811764,-0.8424702941394243,0,phase2-selected
A_wrong,43,-0.5664025905520417,0.36610649907311726,0,phase2-selected
SUPPORTS,18,-2.6985375616285534,-3.7296259668138294,0,phase2-selected
REFUTES,20,2.702980804443359,3.375623893737793,0,phase2-selected
NOT_ENOUGH_INFO,23,-3.4093446731567383,-2.2508651484613833,0,phase2-selected
overall,61,1.0366670577252497,-2.4967084790839524,4,phase2-selected
A_wrong,43,2.523496683253798,-5.4455378332803415,4,phase2-selected
SUPPORTS,18,-2.5152037143707275,4.5477172003851996,4,phase2-selected
REFUTES,20,2.448366475105286,-8.178806686401368,4,phase2-selected
NOT_ENOUGH_INFO,23,2.5888272990351138,-3.068782308827276,4,phase2-selected
overall,61,1.74001488920118,-3.1117284337028126,8,phase2-selected
A_wrong,43,4.125216373177462,-6.999249768811603,8,phase2-selected
SUPPORTS,18,-3.957966433631049,6.1751280890570746,8,phase2-selected
REFUTES,20,3.0955381393432617,-9.327752017974854,8,phase2-selected
NOT_ENOUGH_INFO,23,5.020588750424593,-4.974465204321819,8,phase2-selected
overall,61,4.2644742903162225,-3.116120385341957,16,phase2-selected
A_wrong,43,8.38681182195974,-7.80435942494592,16,phase2-selected
SUPPORTS,18,-5.583332035276625,8.083561764823067,16,phase2-selected
REFUTES,20,4.2122095108032225,-8.657142567634583,16,phase2-selected
NOT_ENOUGH_INFO,23,12.016900788182797,-7.062808866086214,16,phase2-selected
overall,61,6.8064524853815795,-4.052869155758717,32,phase2-selected
A_wrong,43,11.836801406949066,-10.458113659259885,32,phase2-selected
SUPPORTS,18,-5.210492160585192,11.24854826927185,32,phase2-selected
REFUTES,20,3.207187867164612,-11.679816842079163,32,phase2-selected
NOT_ENOUGH_INFO,23,19.340813180674676,-9.39576306550399,32,phase2-selected
overall,61,8.439515121647569,-4.053602578210049,48,phase2-selected
A_wrong,43,14.459250427955805,-10.473770052887673,48,phase2-selected
SUPPORTS,18,-5.940963665644328,11.283464166853163,48,phase2-selected
REFUTES,20,4.6082052230834964,-11.545442342758179,48,phase2-selected
NOT_ENOUGH_INFO,23,23.02537669306216,-9.54188110517419,48,phase2-selected
overall,61,6.9647515367289055,-2.14238486133638,64,phase2-selected
A_wrong,43,8.283863649811856,3.6557010661724,64,phase2-selected
SUPPORTS,18,3.8135392665863037,-15.993367910385132,64,phase2-selected
REFUTES,20,-3.4423049330711364,15.980277740955353,64,phase2-selected
NOT_ENOUGH_INFO,23,18.480531982753586,-7.061322129291037,64,phase2-selected
overall,61,7.245283736557257,-4.399723318756604,80,phase2-selected
A_wrong,43,10.654304138449735,2.1479559720948687,80,phase2-selected
SUPPORTS,18,-0.8984872235192193,-20.041401624679565,80,phase2-selected
REFUTES,20,2.135109341144562,20.43423310518265,80,phase2-selected
NOT_ENOUGH_INFO,23,18.062299614367276,-13.753154578416243,80,phase2-selected
overall,61,5.517044796318304,-5.791782838399293,96,phase2-selected
A_wrong,43,10.348074777181758,2.4778707609620203,96,phase2-selected
SUPPORTS,18,-6.023749046855503,-25.547066436873543,96,phase2-selected
REFUTES,20,6.170115005970001,24.969128477573395,96,phase2-selected
NOT_ENOUGH_INFO,23,13.981083273887634,-17.079744644787002,96,phase2-selected
