example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,-2,A,3,1,0.0640428261678727,I_real,0,phase2-selected
61,-2,I_shuffle,3,1,-1.1955571721811764,I_real,0,phase2-selected
61,-2,I_zero,3,1,-0.8424702941394243,I_real,0,phase2-selected
61,0,A,0,0,-1.5901953587766553,I_real,4,phase2-selected
61,0,I_shuffle,0,0,1.0366670577252497,I_real,4,phase2-selected
61,0,I_zero,0,0,-2.4967084790839524,I_real,4,phase2-selected
61,0,A,0,0,-2.2052153133955157,I_real,8,phase2-selected
61,0,I_shuffle,0,0,1.74001488920118,I_real,8,phase2-selected
61,0,I_zero,0,0,-3.1117284337028126,I_real,8,phase2-selected
61,0,A,0,0,-2.20960726503466,I_real,16,phase2-selected
61,0,I_shuffle,0,0,4.2644742903162225,I_real,16,phase2-selected
61,0,I_zero,0,0,-3.116120385341957,I_real,16,phase2-selected
61,0,A,0,0,-3.14635603545142,I_real,32,phase2-selected
61,0,I_shuffle,0,0,6.8064524853815795,I_real,32,phase2-selected
61,0,I_zero,0,0,-4.052869155758717,I_real,32,phase2-selected
61,0,A,0,0,-3.147089457902752,I_real,48,phase2-selected
61,0,I_shuffle,0,0,8.439515121647569,I_real,48,phase2-selected
61,0,I_zero,0,0,-4.053602578210049,I_real,48,phase2-selected
61,2,A,18,20,-1.2358717410290827,I_real,64,phase2-selected
61,0,I_shuffle,0,0,6.9647515367289055,I_real,64,phase2-selected
61,2,I_zero,18,20,-2.14238486133638,I_real,64,phase2-selected
61,2,A,18,20,-3.4932101984493067,I_real,80,phase2-selected
61,0,I_shuffle,0,0,7.245283736557257,I_real,80,phase2-selected
61,2,I_zero,18,20,-4.399723318756604,I_real,80,phase2-selected
61,2,A,18,20,-4.885269718091996,I_real,96,phase2-selected
61,0,I_shuffle,0,0,5.517044796318304,I_real,96,phase2-selected
61,2,I_zero,18,20,-5.791782838399293,I_real,96,phase2-selected
