alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,0,phase2-selected,0.29508196721311475
I_real,0.7213114754098361,0.17930834059866316,-2.610153933040431,0,phase2-selected,0.26229508196721313
I_shuffle,1.0,0.1518987341772152,-1.414596760859255,0,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.2643921179849595,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.3010591757102095,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.87941207260382,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.619426961805,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.883804024242964,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-9.148278314559185,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,32,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.820552794659724,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-12.627005280041304,32,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,48,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,48,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,48,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.821286217111056,48,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-14.260801338758625,48,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,64,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,64,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,64,phase2-selected,0.29508196721311475
I_real,1.0,0.1646090534979424,-3.910068500237387,64,phase2-selected,0.32786885245901637
I_shuffle,1.0,0.1646090534979424,-10.874820036966293,64,phase2-selected,0.32786885245901637
A,1.0,0.1518987341772152,-2.674196759208304,80,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,80,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,80,phase2-selected,0.29508196721311475
I_real,1.0,0.1646090534979424,-6.167406957657611,80,phase2-selected,0.32786885245901637
I_shuffle,1.0,0.1646090534979424,-13.412690694214868,80,phase2-selected,0.32786885245901637
A,1.0,0.1518987341772152,-2.674196759208304,96,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,96,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,96,phase2-selected,0.29508196721311475
I_real,1.0,0.1646090534979424,-7.5594664773003,96,phase2-selected,0.32786885245901637
I_shuffle,1.0,0.1646090534979424,-13.076511273618605,96,phase2-selected,0.32786885245901637
