arm_alias,layer_index,loss,prefix_hidden_l2,prefix_hidden_slot_norm_max,prefix_hidden_slot_norm_mean,prefix_hidden_slot_norm_std,prefix_l2,prefix_projector_grad_norm,prefix_slot_norm_max,prefix_slot_norm_mean,prefix_slot_norm_std,prefix_tokens,projected_k_l2,projected_v_l2,row_type,step,suite,total_grad_norm_pre_clip,writer_grad_norm,writer_memory_l2,writer_slot_norm_max,writer_slot_norm_mean,writer_slot_norm_std
I_real,,,,,,,6.472229957580566,,1.0435231924057007,1.0232383012771606,0.015121040865778923,8.0,,,snapshot_aggregate,0,phase2-selected,,,117.74927520751953,41.63066482543945,41.63066101074219,2.336015541004599e-06
I_real,0,,2.9303841590881348,1.0359880924224854,1.0359878540039062,1.2644053981603065e-07,,,,,,8.0,3118.642578125,18.107486724853516,snapshot_layer,0,phase2-selected,,,,,,
I_real,7,,2.8767127990722656,1.0172001123428345,1.017199993133545,8.429369557916289e-08,,,,,,8.0,148.12445068359375,33.661460876464844,snapshot_layer,0,phase2-selected,,,,,,
I_real,14,,2.830026149749756,1.000565767288208,1.000565528869629,1.1920928955078125e-07,,,,,,8.0,79.75257110595703,63.735172271728516,snapshot_layer,0,phase2-selected,,,,,,
I_real,21,,2.9514577388763428,1.0435231924057007,1.0435230731964111,1.115100829451876e-07,,,,,,8.0,58.91630172729492,68.22100830078125,snapshot_layer,0,phase2-selected,,,,,,
I_real,27,,2.8820855617523193,1.018915057182312,1.0189149379730225,1.0323827126512697e-07,,,,,,8.0,63.3147087097168,195.37466430664062,snapshot_layer,0,phase2-selected,,,,,,
I_shuffle,,,,,,,9.693745613098145,,1.5996922254562378,1.5322871208190918,0.03629625216126442,8.0,,,snapshot_aggregate,0,phase2-selected,,,117.74928283691406,41.63066482543945,41.63066482543945,0.0
I_shuffle,0,,4.30724573135376,1.5228596925735474,1.5228595733642578,1.1920928955078125e-07,,,,,,8.0,3119.3564453125,16.975847244262695,snapshot_layer,0,phase2-selected,,,,,,
I_shuffle,7,,4.332240104675293,1.5317318439483643,1.5317317247390747,1.1920928955078125e-07,,,,,,8.0,145.9626007080078,32.049400329589844,snapshot_layer,0,phase2-selected,,,,,,
I_shuffle,14,,4.524628162384033,1.5996922254562378,1.5996919870376587,1.3978528556890524e-07,,,,,,8.0,74.08705139160156,61.1706428527832,snapshot_layer,0,phase2-selected,,,,,,
I_shuffle,21,,4.28794002532959,1.515943169593811,1.515942931175232,1.2644053981603065e-07,,,,,,8.0,61.15855026245117,69.07005310058594,snapshot_layer,0,phase2-selected,,,,,,
I_shuffle,27,,4.217669486999512,1.491209864616394,1.4912097454071045,1.115100829451876e-07,,,,,,8.0,67.31798553466797,218.36465454101562,snapshot_layer,0,phase2-selected,,,,,,
I_zero,,,,,,,0.0,,0.0,0.0,0.0,8.0,,,snapshot_aggregate,0,phase2-selected,,,0.0,0.0,0.0,0.0
I_zero,0,,0.0,0.0,0.0,0.0,,,,,,8.0,3118.994384765625,10.266121864318848,snapshot_layer,0,phase2-selected,,,,,,
I_zero,7,,0.0,0.0,0.0,0.0,,,,,,8.0,138.72927856445312,5.444733619689941,snapshot_layer,0,phase2-selected,,,,,,
I_zero,14,,0.0,0.0,0.0,0.0,,,,,,8.0,25.89426612854004,5.364916801452637,snapshot_layer,0,phase2-selected,,,,,,
I_zero,21,,0.0,0.0,0.0,0.0,,,,,,8.0,30.194124221801758,11.934253692626953,snapshot_layer,0,phase2-selected,,,,,,
I_zero,27,,0.0,0.0,0.0,0.0,,,,,,8.0,42.11817169189453,28.961502075195312,snapshot_layer,0,phase2-selected,,,,,,
I_real,,,,,,,49.89021301269531,,8.109725952148438,7.885283470153809,0.2197202444076538,8.0,,,snapshot_aggregate,4,phase2-selected,,,117.7492904663086,41.63066482543945,41.63066101074219,1.3486991292666062e-06
I_real,0,,22.937788009643555,8.109725952148438,8.109725952148438,4.76837158203125e-07,,,,,,8.0,3115.5830078125,18.530607223510742,snapshot_layer,4,phase2-selected,,,,,,
I_real,7,,21.951005935668945,7.760162353515625,7.760161876678467,1.6858739115832577e-07,,,,,,8.0,143.3324432373047,34.61705780029297,snapshot_layer,4,phase2-selected,,,,,,
I_real,14,,21.249343872070312,7.513792037963867,7.513791561126709,3.3717478231665154e-07,,,,,,8.0,102.2332534790039,60.78205490112305,snapshot_layer,4,phase2-selected,,,,,,
I_real,21,,22.72408676147461,8.03384017944336,8.033839225769043,3.3717478231665154e-07,,,,,,8.0,60.99897384643555,74.51079559326172,snapshot_layer,4,phase2-selected,,,,,,
I_real,27,,22.651826858520508,8.008895874023438,8.008895874023438,0.0,,,,,,8.0,76.70352172851562,190.78965759277344,snapshot_layer,4,phase2-selected,,,,,,
I_shuffle,,,,,,,50.22673034667969,,8.179149627685547,7.94039249420166,0.1348656564950943,8.0,,,snapshot_aggregate,4,phase2-selected,,,117.7492904663086,41.63066482543945,41.63066101074219,3.303624680484063e-06
I_shuffle,0,,22.173011779785156,7.839025497436523,7.839024543762207,5.59141142275621e-07,,,,,,8.0,3121.14794921875,17.32633399963379,snapshot_layer,4,phase2-selected,,,,,,
I_shuffle,7,,22.23039436340332,7.860342979431152,7.8603434562683105,6.307962507889897e-07,,,,,,8.0,141.5448455810547,36.59579086303711,snapshot_layer,4,phase2-selected,,,,,,
I_shuffle,14,,23.138132095336914,8.179149627685547,8.179149627685547,6.743495646333031e-07,,,,,,8.0,107.54121398925781,70.6029052734375,snapshot_layer,4,phase2-selected,,,,,,
I_shuffle,21,,22.127586364746094,7.823370933532715,7.823370933532715,7.725644763922901e-07,,,,,,8.0,57.044368743896484,74.26836395263672,snapshot_layer,4,phase2-selected,,,,,,
I_shuffle,27,,22.626920700073242,8.000070571899414,8.000069618225098,8.920806635615008e-07,,,,,,8.0,70.88701629638672,234.83787536621094,snapshot_layer,4,phase2-selected,,,,,,
I_zero,,,,,,,0.0,,0.0,0.0,0.0,8.0,,,snapshot_aggregate,4,phase2-selected,,,0.0,0.0,0.0,0.0
I_zero,0,,0.0,0.0,0.0,0.0,,,,,,8.0,3118.994384765625,10.266121864318848,snapshot_layer,4,phase2-selected,,,,,,
I_zero,7,,0.0,0.0,0.0,0.0,,,,,,8.0,138.72927856445312,5.444733619689941,snapshot_layer,4,phase2-selected,,,,,,
I_zero,14,,0.0,0.0,0.0,0.0,,,,,,8.0,25.89426612854004,5.364916801452637,snapshot_layer,4,phase2-selected,,,,,,
I_zero,21,,0.0,0.0,0.0,0.0,,,,,,8.0,30.194124221801758,11.934253692626953,snapshot_layer,4,phase2-selected,,,,,,
