bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,0.07393200671086546,-0.3571506875460265,0,phase2-selected
A_wrong,43,0.12106527284134266,0.09757600828658702,0,phase2-selected
SUPPORTS,18,-0.038664129045274526,-1.4434422387017145,0,phase2-selected
REFUTES,20,0.7203211784362793,1.8381891250610352,0,phase2-selected
NOT_ENOUGH_INFO,23,-0.40002681898034137,-1.4160006149955418,0,phase2-selected
overall,61,-0.8273591213538999,-2.7139803464295436,4,phase2-selected
A_wrong,43,-1.0905672339505927,-6.441967542781386,4,phase2-selected
SUPPORTS,18,-0.1985841857062446,6.191766844855414,4,phase2-selected
REFUTES,20,-0.2498847246170044,-8.37349512577057,4,phase2-selected
NOT_ENOUGH_INFO,23,-1.8215955029363218,-4.762378340182097,4,phase2-selected
overall,61,-2.1538638834093438,-5.620429210975522,8,phase2-selected
A_wrong,43,-3.4243398378061696,-12.47111993612245,8,phase2-selected
SUPPORTS,18,0.8811620076497396,10.745109743542141,8,phase2-selected
REFUTES,20,-1.343440794944763,-15.215172123908996,8,phase2-selected
NOT_ENOUGH_INFO,23,-5.233817266381306,-10.084987598916758,8,phase2-selected
overall,61,-0.9104434544922876,-5.649276905372495,16,phase2-selected
A_wrong,43,-0.10006599648054255,-13.30381128399871,16,phase2-selected
SUPPORTS,18,-2.846345159742567,12.63655522134569,16,phase2-selected
REFUTES,20,1.802907371520996,-13.751052856445312,16,phase2-selected
NOT_ENOUGH_INFO,23,-1.754825446916663,-12.914905568827754,16,phase2-selected
overall,61,-0.013733082130307057,-8.355145149543636,32,phase2-selected
A_wrong,43,0.1133054300796154,-18.29777903335039,32,phase2-selected
SUPPORTS,18,-0.3172139724095662,15.396702461772495,32,phase2-selected
REFUTES,20,-5.856551098823547,-22.95623152256012,32,phase2-selected
NOT_ENOUGH_INFO,23,5.304485020430191,-14.246950781863669,32,phase2-selected
overall,61,2.6530995251702483,-6.613379544899112,48,phase2-selected
A_wrong,43,4.41373592753743,-14.006464908289354,48,phase2-selected
SUPPORTS,18,-1.5528652138180203,11.047879934310913,48,phase2-selected
REFUTES,20,-7.315118503570557,-19.024273109436034,48,phase2-selected
NOT_ENOUGH_INFO,23,14.61273978067481,-9.643153429031372,48,phase2-selected
overall,61,4.759043146352299,-2.3914076382996607,64,phase2-selected
A_wrong,43,3.8310290491858194,3.3441321794376817,64,phase2-selected
SUPPORTS,18,6.975965711805555,-16.0929749806722,64,phase2-selected
REFUTES,20,-5.117124080657959,17.281857872009276,64,phase2-selected
NOT_ENOUGH_INFO,23,11.612031770789105,-8.775629292363705,64,phase2-selected
overall,61,-0.10180686731807521,-4.587029887027428,80,phase2-selected
A_wrong,43,-1.6259353659873785,1.3383688926696777,80,phase2-selected
SUPPORTS,18,3.5391667683919272,-18.742149194081623,80,phase2-selected
REFUTES,20,-3.638788270950317,19.40241322517395,80,phase2-selected
NOT_ENOUGH_INFO,23,0.12437150789343793,-14.369495744290559,80,phase2-selected
overall,61,0.2647136156676245,-4.964606972991443,96,phase2-selected
A_wrong,43,-3.3386462455572086,0.872621358827103,96,phase2-selected
SUPPORTS,18,8.872739950815836,-18.909096876780193,96,phase2-selected
REFUTES,20,-7.265220880508423,19.619186305999754,96,phase2-selected
NOT_ENOUGH_INFO,23,0.07576648048732591,-15.428739464801291,96,phase2-selected
