alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,0,phase2-selected,0.29508196721311475
I_real,0.9836065573770492,0.15384615384615383,-2.1248343264470333,0,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-2.198766333157899,0,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.481663985330551,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.6543048639766504,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.388112849876529,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.234248966467185,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.416960544273501,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.506517089781214,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,32,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-10.122828788444645,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-10.109095706314337,32,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,48,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,48,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,48,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-8.38106318380012,48,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-11.034162708970367,48,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,64,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,64,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,64,phase2-selected,0.29508196721311475
I_real,1.0,0.1646090534979424,-4.159091277200668,64,phase2-selected,0.32786885245901637
I_shuffle,1.0,0.1646090534979424,-8.918134423552967,64,phase2-selected,0.32786885245901637
A,1.0,0.1518987341772152,-2.674196759208304,80,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,80,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,80,phase2-selected,0.29508196721311475
I_real,1.0,0.1646090534979424,-6.354713525928434,80,phase2-selected,0.32786885245901637
I_shuffle,1.0,0.1646090534979424,-6.252906658610359,80,phase2-selected,0.32786885245901637
A,1.0,0.1518987341772152,-2.674196759208304,96,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,96,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,96,phase2-selected,0.29508196721311475
I_real,1.0,0.1646090534979424,-6.73229061189245,96,phase2-selected,0.32786885245901637
I_shuffle,1.0,0.1646090534979424,-6.997004227560074,96,phase2-selected,0.32786885245901637
