arm_alias,layer_index,loss,prefix_hidden_l2,prefix_hidden_slot_norm_max,prefix_hidden_slot_norm_mean,prefix_hidden_slot_norm_std,prefix_l2,prefix_projector_grad_norm,prefix_slot_norm_max,prefix_slot_norm_mean,prefix_slot_norm_std,prefix_tokens,projected_k_l2,projected_v_l2,row_type,step,suite,total_grad_norm_pre_clip,writer_grad_norm,writer_memory_l2,writer_slot_norm_max,writer_slot_norm_mean,writer_slot_norm_std
I_real,,,,,,,9.98190975189209,,1.6131442785263062,1.5779132843017578,0.03397537022829056,8.0,,,snapshot_aggregate,0,phase2-selected,,,117.74927520751953,41.63066482543945,41.63066101074219,2.336015541004599e-06
I_real,0,,4.351722240447998,1.5383217334747314,1.538321614265442,1.115100829451876e-07,,,,,,8.0,3119.51904296875,17.89040184020996,snapshot_layer,0,phase2-selected,,,,,,
I_real,7,,4.549005508422852,1.6083991527557373,1.6083989143371582,1.3978528556890524e-07,,,,,,8.0,146.15420532226562,33.84749221801758,snapshot_layer,0,phase2-selected,,,,,,
I_real,14,,4.344303131103516,1.5357625484466553,1.5357625484466553,1.0323827126512697e-07,,,,,,8.0,76.83954620361328,68.08951568603516,snapshot_layer,0,phase2-selected,,,,,,
I_real,21,,4.562575817108154,1.6131442785263062,1.613144040107727,1.4600097131278744e-07,,,,,,8.0,56.164398193359375,70.1236801147461,snapshot_layer,0,phase2-selected,,,,,,
I_real,27,,4.508174419403076,1.5939397811889648,1.5939397811889648,1.519626238177807e-07,,,,,,8.0,65.52079772949219,220.2875213623047,snapshot_layer,0,phase2-selected,,,,,,
I_shuffle,,,,,,,8.773008346557617,,1.433407187461853,1.3867485523223877,0.032803311944007874,8.0,,,snapshot_aggregate,0,phase2-selected,,,117.74928283691406,41.63066482543945,41.63066482543945,0.0
I_shuffle,0,,4.0547003746032715,1.433407187461853,1.4334070682525635,1.115100829451876e-07,,,,,,8.0,3119.94287109375,17.982282638549805,snapshot_layer,0,phase2-selected,,,,,,
I_shuffle,7,,3.90014386177063,1.3789927959442139,1.3789925575256348,1.1920928955078125e-07,,,,,,8.0,144.9021759033203,31.20252227783203,snapshot_layer,0,phase2-selected,,,,,,
I_shuffle,14,,3.934939384460449,1.3915143013000488,1.3915140628814697,1.1920928955078125e-07,,,,,,8.0,80.25472259521484,63.06682586669922,snapshot_layer,0,phase2-selected,,,,,,
I_shuffle,21,,3.9538862705230713,1.3978304862976074,1.3978303670883179,9.42432194506182e-08,,,,,,8.0,64.04676055908203,64.1648178100586,snapshot_layer,0,phase2-selected,,,,,,
I_shuffle,27,,3.767814874649048,1.331998348236084,1.3319982290267944,8.429369557916289e-08,,,,,,8.0,67.889404296875,214.30738830566406,snapshot_layer,0,phase2-selected,,,,,,
I_zero,,,,,,,0.0,,0.0,0.0,0.0,8.0,,,snapshot_aggregate,0,phase2-selected,,,0.0,0.0,0.0,0.0
I_zero,0,,0.0,0.0,0.0,0.0,,,,,,8.0,3118.994384765625,10.266121864318848,snapshot_layer,0,phase2-selected,,,,,,
I_zero,7,,0.0,0.0,0.0,0.0,,,,,,8.0,138.72927856445312,5.444733619689941,snapshot_layer,0,phase2-selected,,,,,,
