bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,-0.4450537103121398,0.06992197818443423,0,triad6
A_wrong,43,-1.8319744952889376,0.5338392479475155,0,triad6
SUPPORTS,18,2.8681459426879883,-1.0383248329162598,0,triad6
REFUTES,20,-3.1697428703308104,0.9719513416290283,0,triad6
NOT_ENOUGH_INFO,23,-0.6686976474264393,0.15287220996359122,0,triad6
overall,61,4.004497832939273,-7.184313203467697,16,triad6
A_wrong,43,5.4097699010094935,-15.431308125340662,16,triad6
SUPPORTS,18,0.647459003660414,12.516841332117716,16,triad6
REFUTES,20,-4.184352922439575,-17.48326711654663,16,triad6
NOT_ENOUGH_INFO,23,13.752485399660857,-13.646995959074602,16,triad6
overall,61,1.6759014911338932,-7.279179651229108,32,triad6
A_wrong,43,3.3552982973497967,-16.215342688006025,32,triad6
SUPPORTS,18,-2.3359908792707653,14.068320936626858,32,triad6
REFUTES,20,-3.4375380516052245,-19.59745559692383,32,triad6
NOT_ENOUGH_INFO,23,9.262112513832424,-13.274374941120977,32,triad6
overall,61,3.376432481359263,-7.302984691057049,48,triad6
A_wrong,43,5.950441670972247,-16.49201745765154,48,triad6
SUPPORTS,18,-2.772589471605089,14.648593584696451,48,triad6
REFUTES,20,-0.17010247707366943,-19.945756363868714,48,triad6
NOT_ENOUGH_INFO,23,11.272653973620871,-13.488766234853994,48,triad6
overall,61,-2.7776130848243588,-5.925769407241071,64,triad6
A_wrong,43,-1.992214280505513,-3.500327320986016,64,triad6
SUPPORTS,18,-4.6538435618082685,-11.719881057739258,64,triad6
REFUTES,20,5.630352234840393,11.4730943441391,64,triad6
NOT_ENOUGH_INFO,23,-8.620532989501953,-16.520693986312203,64,triad6
overall,61,-0.9363894931605605,-7.720865648300921,80,triad6
A_wrong,43,-0.16026407064393508,-3.53357018980869,80,triad6
SUPPORTS,18,-2.790466891394721,-17.723849243587917,80,triad6
REFUTES,20,2.824606680870056,17.514528632164,80,triad6
NOT_ENOUGH_INFO,23,-2.755803854569145,-21.83626481761103,80,triad6
overall,61,-0.5383853599673412,-7.98509283534816,96,triad6
A_wrong,43,-0.7817478512608728,-3.5691423970599505,96,triad6
SUPPORTS,18,0.042980591456095375,-18.534307771258884,96,triad6
REFUTES,20,1.2295106410980225,18.322474002838135,96,triad6
NOT_ENOUGH_INFO,23,-2.5306682793990425,-22.605330570884373,96,triad6
