example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,-2,A,2,0,0.9764350984917313,I_real,0,triad6
61,-6,I_shuffle,8,2,-0.4450537103121398,I_real,0,triad6
61,-2,I_zero,2,0,0.06992197818443423,I_real,0,triad6
61,0,A,0,0,-6.2778000831604,I_real,16,triad6
61,0,I_shuffle,0,0,4.004497832939273,I_real,16,triad6
61,0,I_zero,0,0,-7.184313203467697,I_real,16,triad6
61,0,A,0,0,-6.372666530921811,I_real,32,triad6
61,0,I_shuffle,0,0,1.6759014911338932,I_real,32,triad6
61,0,I_zero,0,0,-7.279179651229108,I_real,32,triad6
61,0,A,0,0,-6.3964715707497515,I_real,48,triad6
61,0,I_shuffle,0,0,3.376432481359263,I_real,48,triad6
61,0,I_zero,0,0,-7.302984691057049,I_real,48,triad6
61,2,A,18,20,-5.019256286933774,I_real,64,triad6
61,3,I_shuffle,1,4,-2.7776130848243588,I_real,64,triad6
61,2,I_zero,18,20,-5.925769407241071,I_real,64,triad6
61,2,A,18,20,-6.814352527993624,I_real,80,triad6
61,0,I_shuffle,0,0,-0.9363894931605605,I_real,80,triad6
61,2,I_zero,18,20,-7.720865648300921,I_real,80,triad6
61,2,A,18,20,-7.078579715040863,I_real,96,triad6
61,0,I_shuffle,0,0,-0.5383853599673412,I_real,96,triad6
61,2,I_zero,18,20,-7.98509283534816,I_real,96,triad6
