alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,triad6,0.29508196721311475
T,0.7049180327868853,0.5292918683022595,0.5959733465961257,0,triad6,0.5737704918032787
I_zero,1.0,0.1518987341772152,-1.7676836389010069,0,triad6,0.29508196721311475
I_real,0.9672131147540983,0.13852813852813853,-1.6977616607165726,0,triad6,0.26229508196721313
I_shuffle,0.6885245901639344,0.28632478632478636,-1.252707950404433,0,triad6,0.36065573770491804
A,1.0,0.1518987341772152,-2.674196759208304,16,triad6,0.29508196721311475
T,0.7049180327868853,0.5292918683022595,0.5959733465961257,16,triad6,0.5737704918032787
I_zero,1.0,0.1518987341772152,-1.7676836389010069,16,triad6,0.29508196721311475
I_real,1.0,0.1518987341772152,-8.951996842368704,16,triad6,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-12.956494675307978,16,triad6,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,triad6,0.29508196721311475
T,0.7049180327868853,0.5292918683022595,0.5959733465961257,32,triad6,0.5737704918032787
I_zero,1.0,0.1518987341772152,-1.7676836389010069,32,triad6,0.29508196721311475
I_real,1.0,0.1518987341772152,-9.046863290130116,32,triad6,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-10.722764781264008,32,triad6,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,48,triad6,0.29508196721311475
T,0.7049180327868853,0.5292918683022595,0.5959733465961257,48,triad6,0.5737704918032787
I_zero,1.0,0.1518987341772152,-1.7676836389010069,48,triad6,0.29508196721311475
I_real,1.0,0.1518987341772152,-9.070668329958055,48,triad6,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-12.447100811317318,48,triad6,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,64,triad6,0.29508196721311475
T,0.7049180327868853,0.5292918683022595,0.5959733465961257,64,triad6,0.5737704918032787
I_zero,1.0,0.1518987341772152,-1.7676836389010069,64,triad6,0.29508196721311475
I_real,1.0,0.1646090534979424,-7.693453046142078,64,triad6,0.32786885245901637
I_shuffle,0.7704918032786885,0.18003731343283583,-4.915839961317719,64,triad6,0.2786885245901639
A,1.0,0.1518987341772152,-2.674196759208304,80,triad6,0.29508196721311475
T,0.7049180327868853,0.5292918683022595,0.5959733465961257,80,triad6,0.5737704918032787
I_zero,1.0,0.1518987341772152,-1.7676836389010069,80,triad6,0.29508196721311475
I_real,1.0,0.1646090534979424,-9.488549287201929,80,triad6,0.32786885245901637
I_shuffle,0.8852459016393442,0.1801801801801802,-8.552159794041367,80,triad6,0.32786885245901637
A,1.0,0.1518987341772152,-2.674196759208304,96,triad6,0.29508196721311475
T,0.7049180327868853,0.5292918683022595,0.5959733465961257,96,triad6,0.5737704918032787
I_zero,1.0,0.1518987341772152,-1.7676836389010069,96,triad6,0.29508196721311475
I_real,1.0,0.1646090534979424,-9.752776474249167,96,triad6,0.32786885245901637
I_shuffle,1.0,0.1646090534979424,-9.214391114281826,96,triad6,0.32786885245901637
