bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,-0.6171086420778369,0.8058728077372567,0,raw8
A_wrong,43,-2.11847793224246,0.2852536578511083,0,raw8
SUPPORTS,18,2.9694957733154297,2.0495741102430554,0,raw8
REFUTES,20,-2.5523555755615233,-1.6960565567016601,0,raw8
NOT_ENOUGH_INFO,23,-1.741193025008492,2.0081321052882983,0,raw8
overall,61,-0.6787562135790215,0.1605288396116163,8,raw8
A_wrong,43,-2.201219070789426,-0.9853339971498002,8,raw8
SUPPORTS,18,2.9582383897569446,2.8978678385416665,8,raw8
REFUTES,20,-2.91650390625,-2.730584716796875,8,raw8
NOT_ENOUGH_INFO,23,-1.5792322573454485,0.5322753242824388,8,raw8
overall,61,-0.596581943699571,0.23871862692911117,16,raw8
A_wrong,43,-2.1436998234238733,-1.0855384649232376,16,raw8
SUPPORTS,18,3.099310768975152,3.4022216796875,16,raw8
REFUTES,20,-3.022656059265137,-3.166723442077637,16,raw8
NOT_ENOUGH_INFO,23,-1.379390053127123,0.7241876021675442,16,raw8
overall,61,-0.8061874889936603,0.07225830828557249,24,raw8
A_wrong,43,-2.3702693318211754,-1.2503680739291878,24,raw8
SUPPORTS,18,2.930230246649848,3.2318657769097223,24,raw8
REFUTES,20,-2.9459712982177733,-3.137768363952637,24,raw8
NOT_ENOUGH_INFO,23,-1.8696589262589165,0.3908495695694633,24,raw8
overall,61,-0.678069067783043,0.1423887659291752,32,raw8
A_wrong,43,-2.3424305583155434,-1.2927320613417514,32,raw8
SUPPORTS,18,3.297905604044596,3.5707329644097223,32,raw8
REFUTES,20,-3.271435356140137,-3.4919736862182615,32,raw8
NOT_ENOUGH_INFO,23,-1.534600299337636,0.6196519602899966,32,raw8
overall,61,-0.7197638965043865,0.1484667043216893,48,raw8
A_wrong,43,-2.300787459972293,-1.1854543464128362,48,raw8
SUPPORTS,18,3.057125727335612,3.335055881076389,48,raw8
REFUTES,20,-3.138368034362793,-3.340307426452637,48,raw8
NOT_ENOUGH_INFO,23,-1.572456525719684,0.6883309405782948,48,raw8
overall,61,-0.2611486090988409,6.490983431456519,64,raw8
A_wrong,43,3.2614147718562636,18.813136832658635,64,raw8
SUPPORTS,18,-8.676161130269369,-22.945271915859646,64,raw8
REFUTES,20,9.026416015625,22.976635932922363,64,raw8
NOT_ENOUGH_INFO,23,-1.7516297879426375,15.192702832429305,64,raw8
overall,61,-0.2701127411889248,0.3141593307745261,0,triad6
A_wrong,43,-1.8251401768174282,-0.38808937959892803,0,triad6
SUPPORTS,18,3.444675021701389,1.9917534722222223,0,triad6
REFUTES,20,-3.067506694793701,-1.8466810226440429,0,triad6
NOT_ENOUGH_INFO,23,-0.7448214655337126,0.8802511795707371,0,triad6
overall,61,-0.043197506763896006,0.7008211104596247,8,triad6
A_wrong,43,-1.5013237886650617,-0.49306975963503813,8,triad6
SUPPORTS,18,3.4401041666666665,3.5528937445746527,8,triad6
REFUTES,20,-3.6285192489624025,-4.237015342712402,8,triad6
NOT_ENOUGH_INFO,23,0.3484113942021909,2.7625350952148438,8,triad6
overall,61,-0.9285009728103387,0.8214126962130187,16,triad6
A_wrong,43,-3.4326288533765217,-0.2436161484829215,16,triad6
SUPPORTS,18,5.053582297431098,3.3656482696533203,16,triad6
REFUTES,20,-5.96224536895752,-3.827259635925293,16,triad6
NOT_ENOUGH_INFO,23,-1.2329623180886973,2.8725955797278364,16,triad6
overall,61,-0.9336444667128266,0.6760029401935514,24,triad6
A_wrong,43,-2.0010798254678415,0.39576836519463116,24,triad6
SUPPORTS,18,1.6163400014241536,1.3454522026909723,24,triad6
REFUTES,20,-2.88687744140625,-1.7210205078125,24,triad6
NOT_ENOUGH_INFO,23,-1.2308210289996604,2.2364543417225713,24,triad6
overall,61,1.3952242116459082,3.0118422899089876,32,triad6
A_wrong,43,4.8061301652775255,6.888591500215752,32,triad6
SUPPORTS,18,-6.753051122029622,-6.249280823601617,32,triad6
REFUTES,20,5.139697551727295,5.062085437774658,32,triad6
NOT_ENOUGH_INFO,23,4.516071568364683,8.476857641468877,32,triad6
overall,61,-1.1022746289362673,0.06876467095046747,48,triad6
A_wrong,43,-1.8518173750056777,-0.08635614084642987,48,triad6
SUPPORTS,18,0.6882997088962131,0.4393310546875,48,triad6
REFUTES,20,-1.3101806640625,-0.7654050827026367,48,triad6
NOT_ENOUGH_INFO,23,-2.3228058193040932,0.5041211998980978,48,triad6
overall,61,-2.0793725623459114,1.6554891867715804,64,triad6
A_wrong,43,1.9921663860942043,11.555067372876545,64,triad6
SUPPORTS,18,-11.805826716952854,-21.99350314670139,64,triad6
REFUTES,20,12.684576320648194,22.555493450164796,64,triad6
NOT_ENOUGH_INFO,23,-7.305581383083178,1.9894794795824133,64,triad6
