example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,0,A,0,0,-14.410557254416045,I_real,0,raw8
61,0,I_shuffle,0,0,-0.6171086420778369,I_real,0,raw8
61,0,I_zero,0,0,0.8058728077372567,I_real,0,raw8
61,0,A,0,0,-15.055901222541683,I_real,8,raw8
61,0,I_shuffle,0,0,-0.6787562135790215,I_real,8,raw8
61,0,I_zero,0,0,0.1605288396116163,I_real,8,raw8
61,0,A,0,0,-14.977711435224188,I_real,16,raw8
61,0,I_shuffle,0,0,-0.596581943699571,I_real,16,raw8
61,0,I_zero,0,0,0.23871862692911117,I_real,16,raw8
61,0,A,0,0,-15.144171753867727,I_real,24,raw8
61,0,I_shuffle,0,0,-0.8061874889936603,I_real,24,raw8
61,0,I_zero,0,0,0.07225830828557249,I_real,24,raw8
61,0,A,0,0,-15.074041296224125,I_real,32,raw8
61,0,I_shuffle,0,0,-0.678069067783043,I_real,32,raw8
61,0,I_zero,0,0,0.1423887659291752,I_real,32,raw8
61,0,A,0,0,-15.06796335783161,I_real,48,raw8
61,0,I_shuffle,0,0,-0.7197638965043865,I_real,48,raw8
61,0,I_zero,0,0,0.1484667043216893,I_real,48,raw8
61,2,A,18,20,-8.725446630696782,I_real,64,raw8
61,2,I_shuffle,18,20,-0.2611486090988409,I_real,64,raw8
61,2,I_zero,18,20,6.490983431456519,I_real,64,raw8
61,0,A,0,0,-14.902270731378774,I_real,0,triad6
61,0,I_shuffle,0,0,-0.2701127411889248,I_real,0,triad6
61,0,I_zero,0,0,0.3141593307745261,I_real,0,triad6
61,0,A,0,0,-14.515608951693675,I_real,8,triad6
61,0,I_shuffle,0,0,-0.043197506763896006,I_real,8,triad6
61,0,I_zero,0,0,0.7008211104596247,I_real,8,triad6
61,0,A,0,0,-14.395017365940282,I_real,16,triad6
61,0,I_shuffle,0,0,-0.9285009728103387,I_real,16,triad6
61,0,I_zero,0,0,0.8214126962130187,I_real,16,triad6
61,0,A,0,0,-14.540427121959748,I_real,24,triad6
61,0,I_shuffle,0,0,-0.9336444667128266,I_real,24,triad6
61,0,I_zero,0,0,0.6760029401935514,I_real,24,triad6
61,0,A,0,0,-12.204587772244313,I_real,32,triad6
61,0,I_shuffle,0,0,1.3952242116459082,I_real,32,triad6
61,0,I_zero,0,0,3.0118422899089876,I_real,32,triad6
61,0,A,0,0,-15.147665391202834,I_real,48,triad6
61,0,I_shuffle,0,0,-1.1022746289362673,I_real,48,triad6
61,0,I_zero,0,0,0.06876467095046747,I_real,48,triad6
61,2,A,18,20,-13.56094087538172,I_real,64,triad6
61,2,I_shuffle,18,20,-2.0793725623459114,I_real,64,triad6
61,2,I_zero,18,20,1.6554891867715804,I_real,64,triad6
