alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.796695935921591,0,raw8,0.29508196721311475
T,0.5245901639344263,0.6347380156075808,0.7818380516694218,0,raw8,0.6885245901639344
I_zero,1.0,0.1518987341772152,-18.01312599807489,0,raw8,0.29508196721311475
I_real,1.0,0.1518987341772152,-17.207253190337635,0,raw8,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-16.590144548259797,0,raw8,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,8,raw8,0.29508196721311475
T,0.5245901639344263,0.6347380156075808,0.7818380516694218,8,raw8,0.6885245901639344
I_zero,1.0,0.1518987341772152,-18.01312599807489,8,raw8,0.29508196721311475
I_real,1.0,0.1518987341772152,-17.852597158463276,8,raw8,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-17.173840944884255,8,raw8,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,16,raw8,0.29508196721311475
T,0.5245901639344263,0.6347380156075808,0.7818380516694218,16,raw8,0.6885245901639344
I_zero,1.0,0.1518987341772152,-18.01312599807489,16,raw8,0.29508196721311475
I_real,1.0,0.1518987341772152,-17.77440737114578,16,raw8,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-17.17782542744621,16,raw8,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,24,raw8,0.29508196721311475
T,0.5245901639344263,0.6347380156075808,0.7818380516694218,24,raw8,0.6885245901639344
I_zero,1.0,0.1518987341772152,-18.01312599807489,24,raw8,0.29508196721311475
I_real,1.0,0.1518987341772152,-17.940867689789318,24,raw8,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-17.134680200795657,24,raw8,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,32,raw8,0.29508196721311475
T,0.5245901639344263,0.6347380156075808,0.7818380516694218,32,raw8,0.6885245901639344
I_zero,1.0,0.1518987341772152,-18.01312599807489,32,raw8,0.29508196721311475
I_real,1.0,0.1518987341772152,-17.870737232145714,32,raw8,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-17.192668164362672,32,raw8,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,48,raw8,0.29508196721311475
T,0.5245901639344263,0.6347380156075808,0.7818380516694218,48,raw8,0.6885245901639344
I_zero,1.0,0.1518987341772152,-18.01312599807489,48,raw8,0.29508196721311475
I_real,1.0,0.1518987341772152,-17.864659293753203,48,raw8,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-17.144895397248817,48,raw8,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,64,raw8,0.29508196721311475
T,0.5245901639344263,0.6347380156075808,0.7818380516694218,64,raw8,0.6885245901639344
I_zero,1.0,0.1518987341772152,-18.01312599807489,64,raw8,0.29508196721311475
I_real,1.0,0.1646090534979424,-11.522142566618372,64,raw8,0.32786885245901637
I_shuffle,1.0,0.1518987341772152,-11.260993957519531,64,raw8,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,0,triad6,0.29508196721311475
T,0.7213114754098361,0.49910394265232977,0.5053306887017899,0,triad6,0.5409836065573771
I_zero,1.0,0.1518987341772152,-18.01312599807489,0,triad6,0.29508196721311475
I_real,1.0,0.1518987341772152,-17.698966667300365,0,triad6,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-17.42885392611144,0,triad6,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,8,triad6,0.29508196721311475
T,0.7213114754098361,0.49910394265232977,0.5053306887017899,8,triad6,0.5409836065573771
I_zero,1.0,0.1518987341772152,-18.01312599807489,8,triad6,0.29508196721311475
I_real,1.0,0.1518987341772152,-17.312304887615266,8,triad6,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-17.26910738085137,8,triad6,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,16,triad6,0.29508196721311475
T,0.7213114754098361,0.49910394265232977,0.5053306887017899,16,triad6,0.5409836065573771
