bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,0.07869532850922131,0.97637939453125,0,raw8
A_wrong,43,-0.21424200368482013,0.8285265190656795,0,raw8
SUPPORTS,18,0.7784900665283203,1.3295834859212239,0,raw8
REFUTES,20,0.05759105682373047,-1.067121696472168,0,raw8
NOT_ENOUGH_INFO,23,-0.45061857804008154,2.476916271707286,0,raw8
overall,61,6.557965732011639,4.223068831396884,8,raw8
A_wrong,43,12.385703286459279,7.6637681029563725,8,raw8
SUPPORTS,18,-7.363851759168837,-3.99637942843967,8,raw8
REFUTES,20,8.953332138061523,5.679907035827637,8,raw8
NOT_ENOUGH_INFO,23,15.370373850283416,9.388864683068316,8,raw8
overall,61,4.965007406766297,3.5362961565861935,16,raw8
A_wrong,43,9.806895677433458,6.268246939015943,16,raw8
SUPPORTS,18,-6.601725684271918,-2.990030712551541,16,raw8
REFUTES,20,7.569702434539795,4.125195789337158,16,raw8
NOT_ENOUGH_INFO,23,11.752281106036643,8.13176967786706,16,raw8
overall,61,5.105293336461802,3.630160222288038,24,raw8
A_wrong,43,10.280677351840707,6.690510771995367,24,raw8
SUPPORTS,18,-7.258124033610026,-3.680677202012804,24,raw8
REFUTES,20,7.648241996765137,4.127856636047364,24,raw8
NOT_ENOUGH_INFO,23,12.56975157364555,8.918905672819719,24,raw8
overall,61,5.409423953197042,4.010794154933242,32,raw8
A_wrong,43,10.369736915410952,6.950819636500159,32,raw8
SUPPORTS,18,-6.440212567647298,-3.012600051032172,32,raw8
REFUTES,20,7.476903820037842,4.1029541969299315,32,raw8
NOT_ENOUGH_INFO,23,12.885243954865828,9.427224366561227,32,raw8
overall,61,5.454496446203013,3.9797643755303054,48,raw8
A_wrong,43,10.449925977130269,6.916509406511174,48,raw8
SUPPORTS,18,-6.479029655456543,-3.0357931984795465,48,raw8
REFUTES,20,8.07609806060791,4.684961318969727,48,raw8
NOT_ENOUGH_INFO,23,12.51412416541058,8.8569860043733,48,raw8
overall,61,-0.651535159251729,2.138514753247871,64,raw8
A_wrong,43,-1.5469912595527118,7.3089982409809915,64,raw8
SUPPORTS,18,1.4876099692450628,-10.21319580078125,64,raw8
REFUTES,20,-1.4754270553588866,9.453344917297363,64,raw8
NOT_ENOUGH_INFO,23,-1.6092210023299507,5.444348957227624,64,raw8
overall,61,-0.792767915569368,0.831879662685707,0,triad6
A_wrong,43,-1.893793549648551,1.2367986634720203,0,triad6
SUPPORTS,18,1.8374599880642362,-0.13542683919270834,0,triad6
REFUTES,20,-2.553430461883545,-0.9262697219848632,0,triad6
NOT_ENOUGH_INFO,23,-1.3201962346615999,3.1177276943040932,0,triad6
overall,61,-0.07910024924356429,0.5320232578965484,8,triad6
A_wrong,43,2.4628389935160793,3.1445892688839936,8,triad6
SUPPORTS,18,-6.151510662502712,-5.709106657240126,8,triad6
REFUTES,20,6.609649658203125,5.504406929016113,8,triad6
NOT_ENOUGH_INFO,23,-1.143083323603091,1.0925739122473674,8,triad6
overall,61,-1.126191279927238,-0.57919102027768,16,triad6
A_wrong,43,-1.233351197353629,-0.4674860488536746,16,triad6
SUPPORTS,18,-0.8701981438530816,-0.8460417853461372,16,triad6
REFUTES,20,0.881645393371582,0.6491563796997071,16,triad6
NOT_ENOUGH_INFO,23,-3.072478667549465,-1.43847946498705,16,triad6
overall,61,-2.704884232067671,-2.277268925651175,24,triad6
A_wrong,43,-3.322802565818609,-3.2655132648556733,24,triad6
SUPPORTS,18,-1.2287459903293185,0.08353699578179254,24,triad6
REFUTES,20,0.091986083984375,-1.2259519577026368,24,triad6
NOT_ENOUGH_INFO,23,-6.2921840004298994,-5.039044836293096,24,triad6
overall,61,0.6225732897148758,0.9989754723720863,32,triad6
A_wrong,43,4.781707852385765,4.331855152928552,32,triad6
SUPPORTS,18,-9.31313705444336,-6.962903764512804,32,triad6
REFUTES,20,9.025250148773193,6.713891696929932,32,triad6
NOT_ENOUGH_INFO,23,1.0916710729184358,2.260519027709961,32,triad6
overall,61,-0.12365913391113281,0.26384228565653817,48,triad6
A_wrong,43,1.924469836922579,1.5092863038528797,48,triad6
SUPPORTS,18,-5.016411675347222,-2.7113850911458335,48,triad6
REFUTES,20,4.751782608032227,2.48791561126709,48,triad6
NOT_ENOUGH_INFO,23,-0.5340630075205928,0.6583042974057405,48,triad6
overall,61,1.2194960859955335,3.3734543597111935,64,triad6
A_wrong,43,5.130418821822765,11.950574653093206,64,triad6
SUPPORTS,18,-8.123263782925076,-17.1163330078125,64,triad6
REFUTES,20,8.223438167572022,16.847485542297363,64,triad6
NOT_ENOUGH_INFO,23,2.4408367820408032,7.692391271176546,64,triad6
