alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.796695935921591,0,raw8,0.29508196721311475
T,0.5245901639344263,0.6347380156075808,0.7818380516694218,0,raw8,0.6885245901639344
I_zero,1.0,0.1518987341772152,-18.01312599807489,0,raw8,0.29508196721311475
I_real,1.0,0.1518987341772152,-17.03674660354364,0,raw8,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-17.115441932052864,0,raw8,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,8,raw8,0.29508196721311475
T,0.5245901639344263,0.6347380156075808,0.7818380516694218,8,raw8,0.6885245901639344
I_zero,1.0,0.1518987341772152,-18.01312599807489,8,raw8,0.29508196721311475
I_real,1.0,0.1518987341772152,-13.790057166678007,8,raw8,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-20.348022898689646,8,raw8,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,16,raw8,0.29508196721311475
T,0.5245901639344263,0.6347380156075808,0.7818380516694218,16,raw8,0.6885245901639344
I_zero,1.0,0.1518987341772152,-18.01312599807489,16,raw8,0.29508196721311475
I_real,1.0,0.1518987341772152,-14.476829841488698,16,raw8,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-19.441837248254995,16,raw8,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,24,raw8,0.29508196721311475
T,0.5245901639344263,0.6347380156075808,0.7818380516694218,24,raw8,0.6885245901639344
I_zero,1.0,0.1518987341772152,-18.01312599807489,24,raw8,0.29508196721311475
I_real,1.0,0.1518987341772152,-14.382965775786854,24,raw8,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-19.488259112248656,24,raw8,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,32,raw8,0.29508196721311475
T,0.5245901639344263,0.6347380156075808,0.7818380516694218,32,raw8,0.6885245901639344
I_zero,1.0,0.1518987341772152,-18.01312599807489,32,raw8,0.29508196721311475
I_real,1.0,0.1518987341772152,-14.002331843141649,32,raw8,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-19.411755796338692,32,raw8,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,48,raw8,0.29508196721311475
T,0.5245901639344263,0.6347380156075808,0.7818380516694218,48,raw8,0.6885245901639344
I_zero,1.0,0.1518987341772152,-18.01312599807489,48,raw8,0.29508196721311475
I_real,1.0,0.1518987341772152,-14.033361622544586,48,raw8,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-19.4878580687476,48,raw8,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,64,raw8,0.29508196721311475
T,0.5245901639344263,0.6347380156075808,0.7818380516694218,64,raw8,0.6885245901639344
I_zero,1.0,0.1518987341772152,-18.01312599807489,64,raw8,0.29508196721311475
I_real,1.0,0.1518987341772152,-15.87461124482702,64,raw8,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-15.223076085575292,64,raw8,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,0,triad6,0.29508196721311475
T,0.7213114754098361,0.49910394265232977,0.5053306887017899,0,triad6,0.5409836065573771
I_zero,1.0,0.1518987341772152,-18.01312599807489,0,triad6,0.29508196721311475
I_real,1.0,0.1518987341772152,-17.181246335389183,0,triad6,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-16.388478419819815,0,triad6,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,8,triad6,0.29508196721311475
T,0.7213114754098361,0.49910394265232977,0.5053306887017899,8,triad6,0.5409836065573771
I_zero,1.0,0.1518987341772152,-18.01312599807489,8,triad6,0.29508196721311475
I_real,1.0,0.1518987341772152,-17.481102740178343,8,triad6,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-17.402002490934777,8,triad6,0.29508196721311475
A,1.0,0.1518987341772152,-2.796695935921591,16,triad6,0.29508196721311475
T,0.7213114754098361,0.49910394265232977,0.5053306887017899,16,triad6,0.5409836065573771
