arm_alias,prefix_l2,prefix_slot_norm_max,prefix_slot_norm_mean,prefix_slot_norm_std,prefix_tokens,step,suite
I_real,89.39226531982422,31.604936599731445,31.604934692382812,1.3486991292666062e-06,8.0,0,raw8
I_shuffle,88.03561401367188,31.125286102294922,31.125288009643555,1.9073486328125e-06,8.0,0,raw8
I_zero,0.0,0.0,0.0,0.0,8.0,0,raw8
I_real,135.76454162597656,48.0,48.0,3.303624680484063e-06,8.0,8,raw8
I_shuffle,135.7644805908203,48.000003814697266,48.0,1.9073486328125e-06,8.0,8,raw8
I_zero,0.0,0.0,0.0,0.0,8.0,8,raw8
I_real,135.7645263671875,48.000003814697266,48.0,3.303624680484063e-06,8.0,16,raw8
I_shuffle,135.76449584960938,48.000003814697266,48.000003814697266,0.0,8.0,16,raw8
I_zero,0.0,0.0,0.0,0.0,8.0,16,raw8
I_real,135.7644805908203,48.000003814697266,48.0,3.814697265625e-06,8.0,24,raw8
I_shuffle,135.76446533203125,47.999996185302734,47.999996185302734,0.0,8.0,24,raw8
I_zero,0.0,0.0,0.0,0.0,8.0,24,raw8
I_real,135.76451110839844,48.0,48.0,2.336015541004599e-06,8.0,32,raw8
I_shuffle,135.7644805908203,48.0,48.0,0.0,8.0,32,raw8
I_zero,0.0,0.0,0.0,0.0,8.0,32,raw8
I_real,135.7644805908203,47.999996185302734,47.999996185302734,1.9073486328125e-06,8.0,48,raw8
I_shuffle,135.7644805908203,48.000003814697266,48.0,3.303624680484063e-06,8.0,48,raw8
I_zero,0.0,0.0,0.0,0.0,8.0,48,raw8
I_real,135.7644805908203,48.0,48.0,2.336015541004599e-06,8.0,64,raw8
I_shuffle,135.76449584960938,48.000003814697266,48.000003814697266,0.0,8.0,64,raw8
I_zero,0.0,0.0,0.0,0.0,8.0,64,raw8
I_real,85.26756286621094,30.14662742614746,30.146625518798828,1.7841613271230017e-06,8.0,0,triad6
I_shuffle,88.01539611816406,31.118144989013672,31.118144989013672,1.5078915112098912e-06,8.0,0,triad6
I_zero,0.0,0.0,0.0,0.0,8.0,0,triad6
I_real,135.76449584960938,48.000003814697266,48.000003814697266,0.0,8.0,8,triad6
I_shuffle,135.76449584960938,48.0,48.0,1.3486991292666062e-06,8.0,8,triad6
I_zero,0.0,0.0,0.0,0.0,8.0,8,triad6
I_real,135.76449584960938,48.000003814697266,48.0,3.5683226542460034e-06,8.0,16,triad6
I_shuffle,135.7645263671875,48.0,48.0,3.5683226542460034e-06,8.0,16,triad6
I_zero,0.0,0.0,0.0,0.0,8.0,16,triad6
I_real,135.76451110839844,48.000003814697266,48.0,3.303624680484063e-06,8.0,24,triad6
I_shuffle,135.76451110839844,48.000003814697266,48.000003814697266,0.0,8.0,24,triad6
I_zero,0.0,0.0,0.0,0.0,8.0,24,triad6
I_real,135.76449584960938,48.000003814697266,48.0,2.336015541004599e-06,8.0,32,triad6
I_shuffle,135.76449584960938,48.000003814697266,48.000003814697266,1.3486991292666062e-06,8.0,32,triad6
I_zero,0.0,0.0,0.0,0.0,8.0,32,triad6
I_real,135.76451110839844,48.0,48.0,1.3486991292666062e-06,8.0,48,triad6
I_shuffle,135.76451110839844,47.999996185302734,47.999996185302734,0.0,8.0,48,triad6
I_zero,0.0,0.0,0.0,0.0,8.0,48,triad6
I_real,135.76451110839844,48.000003814697266,48.0,3.814697265625e-06,8.0,64,triad6
I_shuffle,135.76451110839844,48.000003814697266,48.0,1.3486991292666062e-06,8.0,64,triad6
I_zero,0.0,0.0,0.0,0.0,8.0,64,triad6
