example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
64,0,A,0,0,-5.210538268089294,I_real,0,m4-fever-phase2-dynamics-qwen25
64,0,I_shuffle,0,0,-0.07865753769874573,I_real,0,m4-fever-phase2-dynamics-qwen25
64,0,I_zero,0,0,-0.23123425245285034,I_real,0,m4-fever-phase2-dynamics-qwen25
64,-1,A,1,0,1.3416452407836914,I_real,16,m4-fever-phase2-dynamics-qwen25
64,-1,I_shuffle,1,0,2.633430302143097,I_real,16,m4-fever-phase2-dynamics-qwen25
64,-1,I_zero,1,0,6.3209492564201355,I_real,16,m4-fever-phase2-dynamics-qwen25
64,21,A,9,30,2.6877251863479614,I_real,32,m4-fever-phase2-dynamics-qwen25
64,16,I_shuffle,9,25,0.6940716505050659,I_real,32,m4-fever-phase2-dynamics-qwen25
64,21,I_zero,9,30,7.6670292019844055,I_real,32,m4-fever-phase2-dynamics-qwen25
64,28,A,16,44,3.6919356882572174,I_real,64,m4-fever-phase2-dynamics-qwen25
64,0,I_shuffle,11,11,0.6740816533565521,I_real,64,m4-fever-phase2-dynamics-qwen25
64,28,I_zero,16,44,8.671239703893661,I_real,64,m4-fever-phase2-dynamics-qwen25
64,0,A,0,0,-4.921438962221146,I_real,0,raw8
64,0,I_shuffle,0,0,0.7018928527832031,I_real,0,raw8
64,0,I_zero,0,0,0.05786505341529846,I_real,0,raw8
64,12,A,6,18,1.9756327867507935,I_real,16,raw8
64,13,I_shuffle,7,20,1.679321050643921,I_real,16,raw8
64,12,I_zero,6,18,6.9549368023872375,I_real,16,raw8
64,17,A,10,27,2.5557843148708344,I_real,32,raw8
64,8,I_shuffle,9,17,0.36717304587364197,I_real,32,raw8
64,17,I_zero,10,27,7.535088330507278,I_real,32,raw8
64,-9,A,15,6,0.009857088327407837,I_real,64,raw8
64,-22,I_shuffle,24,2,-1.9617854356765747,I_real,64,raw8
64,-9,I_zero,15,6,4.989161103963852,I_real,64,raw8
64,0,A,0,0,-5.210538268089294,I_real,0,triad6
64,0,I_shuffle,0,0,-0.07865753769874573,I_real,0,triad6
64,0,I_zero,0,0,-0.23123425245285034,I_real,0,triad6
64,-1,A,1,0,1.3416452407836914,I_real,16,triad6
64,-1,I_shuffle,1,0,2.633430302143097,I_real,16,triad6
64,-1,I_zero,1,0,6.3209492564201355,I_real,16,triad6
64,21,A,9,30,2.6877251863479614,I_real,32,triad6
64,16,I_shuffle,9,25,0.6940716505050659,I_real,32,triad6
64,21,I_zero,9,30,7.6670292019844055,I_real,32,triad6
64,28,A,16,44,3.6919356882572174,I_real,64,triad6
64,0,I_shuffle,11,11,0.6740816533565521,I_real,64,triad6
64,28,I_zero,16,44,8.671239703893661,I_real,64,triad6
