alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.2,-2.557648926973343,0,m4-fever-phase2-dynamics-qwen25,0.25
T,0.671875,0.5755342667649226,0.4163297688937746,0,m4-fever-phase2-dynamics-qwen25,0.578125
I_zero,1.0,0.2,-7.536952942609787,0,m4-fever-phase2-dynamics-qwen25,0.25
I_real,1.0,0.2,-7.768187195062637,0,m4-fever-phase2-dynamics-qwen25,0.25
I_shuffle,1.0,0.2,-7.689529657363892,0,m4-fever-phase2-dynamics-qwen25,0.25
A,1.0,0.2,-2.557648926973343,16,m4-fever-phase2-dynamics-qwen25,0.25
T,0.671875,0.5755342667649226,0.4163297688937746,16,m4-fever-phase2-dynamics-qwen25,0.578125
I_zero,1.0,0.2,-7.536952942609787,16,m4-fever-phase2-dynamics-qwen25,0.25
I_real,0.984375,0.18987341772151897,-1.2160036861896515,16,m4-fever-phase2-dynamics-qwen25,0.234375
I_shuffle,1.0,0.2,-3.8494339883327484,16,m4-fever-phase2-dynamics-qwen25,0.25
A,1.0,0.2,-2.557648926973343,32,m4-fever-phase2-dynamics-qwen25,0.25
T,0.671875,0.5755342667649226,0.4163297688937746,32,m4-fever-phase2-dynamics-qwen25,0.578125
I_zero,1.0,0.2,-7.536952942609787,32,m4-fever-phase2-dynamics-qwen25,0.25
I_real,0.59375,0.5238372093023256,0.13007625937461853,32,m4-fever-phase2-dynamics-qwen25,0.578125
I_shuffle,0.765625,0.32796092796092796,-0.5639953911304474,32,m4-fever-phase2-dynamics-qwen25,0.328125
A,1.0,0.2,-2.557648926973343,64,m4-fever-phase2-dynamics-qwen25,0.25
T,0.671875,0.5755342667649226,0.4163297688937746,64,m4-fever-phase2-dynamics-qwen25,0.578125
I_zero,1.0,0.2,-7.536952942609787,64,m4-fever-phase2-dynamics-qwen25,0.25
I_real,0.921875,0.411214953271028,1.1342867612838745,64,m4-fever-phase2-dynamics-qwen25,0.6875
I_shuffle,0.6875,0.6135265700483091,0.4602051079273224,64,m4-fever-phase2-dynamics-qwen25,0.6875
A,1.0,0.2,-2.557648926973343,0,raw8,0.25
T,0.6875,0.5294117647058824,0.10450554033741355,0,raw8,0.53125
I_zero,1.0,0.2,-7.536952942609787,0,raw8,0.25
I_real,1.0,0.2,-7.4790878891944885,0,raw8,0.25
I_shuffle,1.0,0.2,-8.180980741977692,0,raw8,0.25
A,1.0,0.2,-2.557648926973343,16,raw8,0.25
T,0.6875,0.5294117647058824,0.10450554033741355,16,raw8,0.53125
I_zero,1.0,0.2,-7.536952942609787,16,raw8,0.25
I_real,0.625,0.4285714285714286,-0.5820161402225494,16,raw8,0.4375
I_shuffle,0.953125,0.2014260249554367,-2.2613371908664703,16,raw8,0.234375
A,1.0,0.2,-2.557648926973343,32,raw8,0.25
T,0.6875,0.5294117647058824,0.10450554033741355,32,raw8,0.53125
I_zero,1.0,0.2,-7.536952942609787,32,raw8,0.25
I_real,0.578125,0.45718194254445965,-0.001864612102508545,32,raw8,0.515625
I_shuffle,0.640625,0.38324684951816157,-0.3690376579761505,32,raw8,0.390625
A,1.0,0.2,-2.557648926973343,64,raw8,0.25
T,0.6875,0.5294117647058824,0.10450554033741355,64,raw8,0.53125
I_zero,1.0,0.2,-7.536952942609787,64,raw8,0.25
I_real,0.8125,0.15714285714285714,-2.547791838645935,64,raw8,0.109375
I_shuffle,0.4375,0.46181818181818185,-0.5860064029693604,64,raw8,0.453125
A,1.0,0.2,-2.557648926973343,0,triad6,0.25
T,0.671875,0.5755342667649226,0.4163297688937746,0,triad6,0.578125
I_zero,1.0,0.2,-7.536952942609787,0,triad6,0.25
I_real,1.0,0.2,-7.768187195062637,0,triad6,0.25
I_shuffle,1.0,0.2,-7.689529657363892,0,triad6,0.25
A,1.0,0.2,-2.557648926973343,16,triad6,0.25
T,0.671875,0.5755342667649226,0.4163297688937746,16,triad6,0.578125
I_zero,1.0,0.2,-7.536952942609787,16,triad6,0.25
I_real,0.984375,0.18987341772151897,-1.2160036861896515,16,triad6,0.234375
I_shuffle,1.0,0.2,-3.8494339883327484,16,triad6,0.25
A,1.0,0.2,-2.557648926973343,32,triad6,0.25
T,0.671875,0.5755342667649226,0.4163297688937746,32,triad6,0.578125
I_zero,1.0,0.2,-7.536952942609787,32,triad6,0.25
I_real,0.59375,0.5238372093023256,0.13007625937461853,32,triad6,0.578125
I_shuffle,0.765625,0.32796092796092796,-0.5639953911304474,32,triad6,0.328125
A,1.0,0.2,-2.557648926973343,64,triad6,0.25
T,0.671875,0.5755342667649226,0.4163297688937746,64,triad6,0.578125
I_zero,1.0,0.2,-7.536952942609787,64,triad6,0.25
I_real,0.921875,0.411214953271028,1.1342867612838745,64,triad6,0.6875
I_shuffle,0.6875,0.6135265700483091,0.4602051079273224,64,triad6,0.6875
