bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,-0.5418471821018906,-0.22370017942835074,0,phase2-selected
A_wrong,43,-0.724668635878452,-0.2904724076736805,0,phase2-selected
SUPPORTS,18,-0.1051070425245497,-0.0641887452867296,0,phase2-selected
REFUTES,20,0.29069342613220217,-0.09567322731018066,0,phase2-selected
NOT_ENOUGH_INFO,23,-1.6075921680616296,-0.45986299929411517,0,phase2-selected
overall,61,0.4722939553807993,-1.4149089250408236,4,phase2-selected
A_wrong,43,1.9853109758953715,-3.06409758190776,4,phase2-selected
SUPPORTS,18,-3.142135593626234,2.524819533030192,4,phase2-selected
REFUTES,20,4.1293905019760135,-3.0911389350891114,4,phase2-selected
NOT_ENOUGH_INFO,23,0.1208939966948136,-3.0405833617500635,4,phase2-selected
overall,61,-0.34736530116347014,-2.8661567187700117,8,phase2-selected
A_wrong,43,-0.2929651459982229,-6.774970121161882,8,phase2-selected
SUPPORTS,18,-0.47732122739156085,6.471564186943902,8,phase2-selected
REFUTES,20,-0.26040239334106446,-8.98178768157959,8,phase2-selected
NOT_ENOUGH_INFO,23,-0.3212805830914041,-4.8559983294943105,8,phase2-selected
overall,61,-1.4848724935875564,-4.494280783856501,16,phase2-selected
A_wrong,43,-1.7070270582687024,-9.82513633994169,16,phase2-selected
SUPPORTS,18,-0.954169922404819,8.240540822347006,16,phase2-selected
REFUTES,20,-3.34267795085907,-13.502586221694946,16,phase2-selected
NOT_ENOUGH_INFO,23,-0.28472193427707837,-6.627353834069294,16,phase2-selected
overall,61,-1.1177901713574518,-5.473339768706775,32,phase2-selected
A_wrong,43,-0.5930650012437687,-11.781245719554812,32,phase2-selected
SUPPORTS,18,-2.371300299962362,9.595546669430203,32,phase2-selected
REFUTES,20,-2.4276484847068787,-16.261579084396363,32,phase2-selected
NOT_ENOUGH_INFO,23,1.002224984376327,-7.885303663170856,32,phase2-selected
overall,61,-1.1776683252365863,-5.805769115197854,48,phase2-selected
A_wrong,43,-1.0213404256244039,-12.806999860807906,48,phase2-selected
SUPPORTS,18,-1.5511183076434665,10.919393221537272,48,phase2-selected
REFUTES,20,-2.677786338329315,-17.289198803901673,48,phase2-selected
NOT_ENOUGH_INFO,23,0.4190473245537799,-8.909435562465502,48,phase2-selected
overall,61,-0.9269102284165679,-0.9293656427352155,64,phase2-selected
A_wrong,43,0.6903878589009129,2.2635863769886106,64,phase2-selected
SUPPORTS,18,-4.79045565923055,-8.5569732454088,64,phase2-selected
REFUTES,20,5.586545610427857,9.590471887588501,64,phase2-selected
NOT_ENOUGH_INFO,23,-3.5671406206877334,-4.107618414837381,64,phase2-selected
overall,61,-4.507697824571953,-6.9473631342903515,80,phase2-selected
A_wrong,43,-5.940845467323481,-1.7064098979151525,80,phase2-selected
SUPPORTS,18,-1.0840673446655273,-19.467418087853325,80,phase2-selected
REFUTES,20,2.628622603416443,20.39697983264923,80,phase2-selected
NOT_ENOUGH_INFO,23,-13.392556833184283,-20.926748794058096,80,phase2-selected
overall,61,-4.52497570631934,-8.489071431707163,96,phase2-selected
A_wrong,43,-7.080712617829788,-3.7110235524732014,96,phase2-selected
SUPPORTS,18,1.5803958045111761,-19.903296920988296,96,phase2-selected
REFUTES,20,1.3337069034576416,22.08887951374054,96,phase2-selected
NOT_ENOUGH_INFO,23,-14.397599158079728,-26.14572187091993,96,phase2-selected
