example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,0,A,0,0,0.6828129408789463,I_real,0,phase2-selected
61,0,I_shuffle,0,0,-0.5418471821018906,I_real,0,phase2-selected
61,0,I_zero,0,0,-0.22370017942835074,I_real,0,phase2-selected
61,0,A,0,0,-0.5083958047335265,I_real,4,phase2-selected
61,0,I_shuffle,0,0,0.4722939553807993,I_real,4,phase2-selected
61,0,I_zero,0,0,-1.4149089250408236,I_real,4,phase2-selected
61,0,A,0,0,-1.9596435984627145,I_real,8,phase2-selected
61,0,I_shuffle,0,0,-0.34736530116347014,I_real,8,phase2-selected
61,0,I_zero,0,0,-2.8661567187700117,I_real,8,phase2-selected
61,0,A,0,0,-3.5877676635492044,I_real,16,phase2-selected
61,0,I_shuffle,0,0,-1.4848724935875564,I_real,16,phase2-selected
61,0,I_zero,0,0,-4.494280783856501,I_real,16,phase2-selected
61,0,A,0,0,-4.566826648399478,I_real,32,phase2-selected
61,0,I_shuffle,0,0,-1.1177901713574518,I_real,32,phase2-selected
61,0,I_zero,0,0,-5.473339768706775,I_real,32,phase2-selected
61,0,A,0,0,-4.899255994890557,I_real,48,phase2-selected
61,0,I_shuffle,0,0,-1.1776683252365863,I_real,48,phase2-selected
61,0,I_zero,0,0,-5.805769115197854,I_real,48,phase2-selected
61,3,A,16,19,-0.022852522427918482,I_real,64,phase2-selected
61,3,I_shuffle,12,15,-0.9269102284165679,I_real,64,phase2-selected
61,3,I_zero,16,19,-0.9293656427352155,I_real,64,phase2-selected
61,2,A,18,20,-6.0408500139830545,I_real,80,phase2-selected
61,0,I_shuffle,0,0,-4.507697824571953,I_real,80,phase2-selected
61,2,I_zero,18,20,-6.9473631342903515,I_real,80,phase2-selected
61,2,A,18,20,-7.5825583113998665,I_real,96,phase2-selected
61,0,I_shuffle,0,0,-4.52497570631934,I_real,96,phase2-selected
61,2,I_zero,18,20,-8.489071431707163,I_real,96,phase2-selected
