alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,0,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-1.9913838183293577,0,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-1.449536636227467,0,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.1825925639418307,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.6548865193226296,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.633840357671018,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.286475056507548,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.261964422757508,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.777091929169952,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,32,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.241023407607782,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.12323323625033,32,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,48,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,48,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,48,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.573452754098861,48,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.3957844288622745,48,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,64,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,64,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,64,phase2-selected,0.29508196721311475
I_real,0.9508196721311475,0.22588522588522586,-2.6970492816362226,64,phase2-selected,0.3442622950819672
I_shuffle,0.8360655737704918,0.2367149758454106,-1.7701390532196546,64,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,80,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,80,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,80,phase2-selected,0.29508196721311475
I_real,1.0,0.1646090534979424,-8.715046773191359,80,phase2-selected,0.32786885245901637
I_shuffle,1.0,0.1646090534979424,-4.207348948619405,80,phase2-selected,0.32786885245901637
A,1.0,0.1518987341772152,-2.674196759208304,96,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,96,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,96,phase2-selected,0.29508196721311475
I_real,1.0,0.1646090534979424,-10.25675507060817,96,phase2-selected,0.32786885245901637
I_shuffle,1.0,0.1646090534979424,-5.731779364288831,96,phase2-selected,0.32786885245901637
