bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,0.4627186040409276,0.4790333607157723,0,phase2-selected
A_wrong,43,0.9316728503205055,1.4897687379703966,0,phase2-selected
SUPPORTS,18,-0.6575609842936198,-1.935501151614719,0,phase2-selected
REFUTES,20,0.6387411594390869,1.8360833644866943,0,phase2-selected
NOT_ENOUGH_INFO,23,1.1863960597826086,1.1886255844779636,0,phase2-selected
overall,61,-0.6722637786239875,-1.590210211081583,4,phase2-selected
A_wrong,43,-1.509903064993925,-4.148876256720964,4,phase2-selected
SUPPORTS,18,1.3287634054819744,4.522158675723606,4,phase2-selected
REFUTES,20,-2.6190478801727295,-6.32245569229126,4,phase2-selected
NOT_ENOUGH_INFO,23,-0.5454293126645295,-2.2588071823120117,4,phase2-selected
overall,61,-0.2568858334275543,-2.4966959796968053,8,phase2-selected
A_wrong,43,-0.8347369460172431,-6.3831022950105885,8,phase2-selected
SUPPORTS,18,1.1235362688700359,6.787496884663899,8,phase2-selected
REFUTES,20,-1.8300318479537965,-10.007823181152343,8,phase2-selected
NOT_ENOUGH_INFO,23,0.030736881753672726,-3.2311710896699326,8,phase2-selected
overall,61,1.474049732333324,-3.177956714004767,16,phase2-selected
A_wrong,43,1.4840006273846293,-8.361995397612105,16,phase2-selected
SUPPORTS,18,1.450278149710761,9.206135696834988,16,phase2-selected
REFUTES,20,3.1174251794815064,-12.194545078277589,16,phase2-selected
NOT_ENOUGH_INFO,23,0.06363145164821458,-5.029343501381252,16,phase2-selected
overall,61,1.7810752548155238,-3.713877287067351,32,phase2-selected
A_wrong,43,2.2261615963869317,-9.653321643208349,32,phase2-selected
SUPPORTS,18,0.7178134388393826,10.4747953414917,32,phase2-selected
REFUTES,20,4.655202686786652,-13.04319794178009,32,phase2-selected
NOT_ENOUGH_INFO,23,0.11395195256108823,-6.705603122711182,32,phase2-selected
overall,61,1.6710083289224593,-3.9493235955472854,48,phase2-selected
A_wrong,43,2.112583925557691,-10.243286587471186,48,phase2-selected
SUPPORTS,18,0.6161332925160726,11.086254662937588,48,phase2-selected
REFUTES,20,4.379378366470337,-13.624929738044738,48,phase2-selected
NOT_ENOUGH_INFO,23,0.14145832476408585,-7.302727326102879,48,phase2-selected
overall,61,0.29334860942402824,-1.9186281298027663,64,phase2-selected
A_wrong,43,-1.5812264320462248,1.9799081003943155,64,phase2-selected
SUPPORTS,18,4.771500097380744,-11.231798013051352,64,phase2-selected
REFUTES,20,-4.944581699371338,10.646881055831908,64,phase2-selected
NOT_ENOUGH_INFO,23,1.3434303221495256,-5.556590121725331,64,phase2-selected
overall,61,0.9125536856104116,-2.685259006062492,80,phase2-selected
A_wrong,43,0.22081219872762992,4.508388408394747,80,phase2-selected
SUPPORTS,18,2.5650472376081677,-19.870083385043674,80,phase2-selected
REFUTES,20,-3.1695988178253174,18.601073503494263,80,phase2-selected
NOT_ENOUGH_INFO,23,3.1689956913823667,-7.746120369952658,80,phase2-selected
overall,61,1.4318059272453434,-3.0422152847540183,96,phase2-selected
A_wrong,43,0.7798799137736476,4.615287736404774,96,phase2-selected
SUPPORTS,18,2.9891847372055054,-21.335139168633354,96,phase2-selected
REFUTES,20,-2.000463056564331,19.798189544677733,96,phase2-selected
NOT_ENOUGH_INFO,23,3.197569453197977,-8.587235575136932,96,phase2-selected
