alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,0,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-1.2886502781852347,0,phase2-selected,0.29508196721311475
I_shuffle,0.9836065573770492,0.1452991452991453,-1.7513688822261622,0,phase2-selected,0.2786885245901639
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.35789384998259,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-2.6856300713586028,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.264379618597812,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.007493785170258,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.945640352905774,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.419690085239098,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,32,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.481560925968358,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-7.262636180783882,32,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,48,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,48,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,48,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.7170072344482925,48,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-7.388015563370751,48,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,64,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,64,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,64,phase2-selected,0.29508196721311475
I_real,0.9672131147540983,0.16033755274261602,-3.6863117687037734,64,phase2-selected,0.3114754098360656
I_shuffle,1.0,0.1646090534979424,-3.9796603781278015,64,phase2-selected,0.32786885245901637
A,1.0,0.1518987341772152,-2.674196759208304,80,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,80,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,80,phase2-selected,0.29508196721311475
I_real,1.0,0.1646090534979424,-4.452942644963499,80,phase2-selected,0.32786885245901637
I_shuffle,1.0,0.1646090534979424,-5.365496330573911,80,phase2-selected,0.32786885245901637
A,1.0,0.1518987341772152,-2.674196759208304,96,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,96,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,96,phase2-selected,0.29508196721311475
I_real,1.0,0.1646090534979424,-4.809898923655025,96,phase2-selected,0.32786885245901637
I_shuffle,1.0,0.1646090534979424,-6.241704850900368,96,phase2-selected,0.32786885245901637
