alignment_aux_active,alignment_aux_loss,alignment_aux_mode,arm_alias,layer_index,loss,pilot_support_encoder_mode,pilot_trainable_variant,prefix_hidden_l2,prefix_hidden_slot_norm_max,prefix_hidden_slot_norm_mean,prefix_hidden_slot_norm_std,prefix_l2,prefix_projector_grad_norm,prefix_slot_norm_max,prefix_slot_norm_mean,prefix_slot_norm_std,prefix_tokens,projected_k_l2,projected_v_l2,row_type,step,suite,support_encoder_grad_norm,support_item_count,support_item_hidden_l2,support_item_hidden_norm_max,support_item_hidden_norm_mean,support_item_hidden_norm_std,total_grad_norm_pre_clip,writer_grad_norm,writer_memory_l2,writer_slot_norm_max,writer_slot_norm_mean,writer_slot_norm_std,writer_to_projector_grad_ratio
,,,I_real,,,structured_support_set,,,,,,6.527487754821777,,1.053093433380127,1.031990885734558,0.013950489461421967,8.0,,,snapshot_aggregate,0,phase2-selected,,6.0,95.99951934814453,39.19164276123047,39.1916389465332,3.814697265625e-06,,,111.12970733642578,39.290279388427734,39.290279388427734,0.0,
,,,I_real,0,,,,2.97861909866333,1.053093433380127,1.0530933141708374,5.960464477539063e-08,,,,,,8.0,3118.905029296875,18.05699348449707,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,7,,,,2.9209985733032227,1.0327540636062622,1.0327539443969727,7.300048565639372e-08,,,,,,8.0,144.81805419921875,33.3218994140625,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,14,,,,2.856929302215576,1.0100481510162354,1.0100480318069458,5.960464477539063e-08,,,,,,8.0,88.58773040771484,58.19755172729492,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,21,,,,2.9057765007019043,1.027250051498413,1.027250051498413,9.42432194506182e-08,,,,,,8.0,64.01422882080078,73.86639404296875,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,27,,,,2.932231903076172,1.0368098020553589,1.0368098020553589,1.2644053981603065e-07,,,,,,8.0,64.33171844482422,212.2222137451172,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,,,structured_support_set,,,,,,12.66679573059082,,2.0424411296844482,2.00266170501709,0.023036422207951546,8.0,,,snapshot_aggregate,0,phase2-selected,,6.0,95.99951934814453,39.19164276123047,39.19163513183594,4.120343874092214e-06,,,117.74885559082031,41.63050842285156,41.63050842285156,0.0,
,,,I_shuffle,0,,,,5.777250289916992,2.0424411296844482,2.042440891265869,1.1920928955078125e-07,,,,,,8.0,3118.91259765625,17.90618324279785,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,7,,,,5.689221382141113,2.0116031169891357,2.0116031169891357,8.429369557916289e-08,,,,,,8.0,145.16363525390625,36.17837905883789,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,14,,,,5.585992336273193,1.974905252456665,1.9749051332473755,1.0323827126512697e-07,,,,,,8.0,72.0610122680664,63.68943405151367,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
