bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,-0.37768514039086515,-0.23535656538165983,0,phase2-selected
A_wrong,43,-2.094371795654297,-0.10248536841813909,0,phase2-selected
SUPPORTS,18,3.7232885360717773,-0.5527710914611816,0,phase2-selected
REFUTES,20,-3.375167226791382,0.48293046951293944,0,phase2-selected
NOT_ENOUGH_INFO,23,-0.9806366381437882,-0.61154261879299,0,phase2-selected
overall,61,0.37831925564124935,-1.8167985462751546,4,phase2-selected
A_wrong,43,0.9741583535837572,-4.512592725975569,4,phase2-selected
SUPPORTS,18,-1.0450741449991863,4.623154216342503,4,phase2-selected
REFUTES,20,-1.7075325012207032,-9.170623469352723,4,phase2-selected
NOT_ENOUGH_INFO,23,3.306063444718071,-0.4621312099954356,4,phase2-selected
overall,61,0.7333389891952765,-3.1670067740268393,8,phase2-selected
A_wrong,43,1.5876264572143555,-7.019795672838078,8,phase2-selected
SUPPORTS,18,-1.3074588510725234,6.0368778175777855,8,phase2-selected
REFUTES,20,-0.6849230051040649,-13.264817690849304,8,phase2-selected
NOT_ENOUGH_INFO,23,3.5637564244477646,-1.5893417441326638,8,phase2-selected
overall,61,1.2869293494302718,-3.8676012539472735,16,phase2-selected
A_wrong,43,0.6191973741664443,-10.205504450687142,16,phase2-selected
SUPPORTS,18,2.88206684589386,11.272945271597969,16,phase2-selected
REFUTES,20,0.4501643657684326,-15.36672775745392,16,phase2-selected
NOT_ENOUGH_INFO,23,0.7661825988603674,-5.717484183933424,16,phase2-selected
overall,61,1.0399845897174271,-4.765104997353475,32,phase2-selected
A_wrong,43,-1.1094504400741223,-13.299892469894054,32,phase2-selected
SUPPORTS,18,6.174746049775018,15.623553964826796,32,phase2-selected
REFUTES,20,0.056591260433197024,-17.374148082733154,32,phase2-selected
NOT_ENOUGH_INFO,23,-2.1233997448630957,-9.75706150220788,32,phase2-selected
overall,61,0.9783365804640973,-4.997373666919645,48,phase2-selected
A_wrong,43,-1.263903396074162,-13.962915331818337,48,phase2-selected
SUPPORTS,18,6.334798746638828,16.420309199227226,48,phase2-selected
REFUTES,20,-0.03588747978210449,-17.915869617462157,48,phase2-selected
NOT_ENOUGH_INFO,23,-2.331743323284647,-10.525563779084578,48,phase2-selected
overall,61,-1.6665329307806296,-2.8163861290353243,64,phase2-selected
A_wrong,43,-0.34430915255879246,3.822765494501868,64,phase2-selected
SUPPORTS,18,-4.825178623199463,-18.67658167415195,64,phase2-selected
REFUTES,20,2.525827431678772,15.921778035163879,64,phase2-selected
NOT_ENOUGH_INFO,23,-2.840080095374066,-6.698114975639012,64,phase2-selected
overall,61,-1.4415971255693278,-3.9463736659190696,80,phase2-selected
A_wrong,43,-0.012311563935390738,4.420275627180588,80,phase2-selected
SUPPORTS,18,-4.856001522805956,-23.933369199434917,80,phase2-selected
REFUTES,20,2.624495732784271,19.19482456445694,80,phase2-selected
NOT_ENOUGH_INFO,23,-2.3051874741264013,-8.427158231320588,80,phase2-selected
overall,61,-1.8034016343413806,-4.47381444055526,96,phase2-selected
A_wrong,43,-0.3039184337438539,4.095004630643268,96,phase2-selected
SUPPORTS,18,-5.385500391324361,-24.943771110640633,96,phase2-selected
REFUTES,20,2.7454379200935364,19.933775293827058,96,phase2-selected
NOT_ENOUGH_INFO,23,-2.9555326544720195,-9.677839424299156,96,phase2-selected
