alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,0,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-2.0030402042826667,0,phase2-selected,0.29508196721311475
I_shuffle,0.6557377049180327,0.19820577516119986,-1.6253550638918017,0,phase2-selected,0.26229508196721313
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.5844821851761615,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.962801440817411,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.934690412927846,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.668029402123123,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.635284892848281,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.922214242278552,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,32,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.532788636254483,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-7.572773225971909,32,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,48,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,48,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,48,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.765057305820653,48,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-7.74339388628475,48,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,64,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,64,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,64,phase2-selected,0.29508196721311475
I_real,1.0,0.1646090534979424,-4.584069767936331,64,phase2-selected,0.32786885245901637
I_shuffle,1.0,0.1646090534979424,-2.917536837155702,64,phase2-selected,0.32786885245901637
A,1.0,0.1518987341772152,-2.674196759208304,80,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,80,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,80,phase2-selected,0.29508196721311475
I_real,1.0,0.1646090534979424,-5.714057304820076,80,phase2-selected,0.32786885245901637
I_shuffle,1.0,0.1646090534979424,-4.272460179250748,80,phase2-selected,0.32786885245901637
A,1.0,0.1518987341772152,-2.674196759208304,96,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,96,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-1.7676836389010069,96,phase2-selected,0.29508196721311475
I_real,1.0,0.1646090534979424,-6.2414980794562664,96,phase2-selected,0.32786885245901637
I_shuffle,1.0,0.1646090534979424,-4.438096445114886,96,phase2-selected,0.32786885245901637
