alignment_aux_active,alignment_aux_loss,alignment_aux_mode,arm_alias,layer_index,loss,pilot_support_encoder_mode,pilot_trainable_variant,prefix_hidden_l2,prefix_hidden_slot_norm_max,prefix_hidden_slot_norm_mean,prefix_hidden_slot_norm_std,prefix_l2,prefix_projector_grad_norm,prefix_slot_norm_max,prefix_slot_norm_mean,prefix_slot_norm_std,prefix_tokens,projected_k_l2,projected_v_l2,row_type,step,suite,support_encoder_grad_norm,support_item_count,support_item_hidden_l2,support_item_hidden_norm_max,support_item_hidden_norm_mean,support_item_hidden_norm_std,total_grad_norm_pre_clip,writer_grad_norm,writer_memory_l2,writer_slot_norm_max,writer_slot_norm_mean,writer_slot_norm_std,writer_to_projector_grad_ratio
,,,I_real,,,pooled_block,,,,,,10.48950481414795,,1.6994361877441406,1.65830397605896,0.02774856984615326,8.0,,,snapshot_aggregate,0,phase2-selected,,0.0,0.0,0.0,0.0,0.0,,,117.74927520751953,41.63066482543945,41.63066101074219,2.336015541004599e-06,
,,,I_real,0,,,,4.71284818649292,1.6661803722381592,1.66618013381958,1.6858739115832577e-07,,,,,,8.0,3119.341796875,18.07069969177246,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,7,,,,4.712093353271484,1.666066288948059,1.6660661697387695,9.42432194506182e-08,,,,,,8.0,142.31549072265625,31.282682418823242,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,14,,,,4.6512861251831055,1.6444861888885498,1.6444859504699707,1.3978528556890524e-07,,,,,,8.0,76.71772766113281,63.69350814819336,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,21,,,,4.568978786468506,1.6153525114059448,1.6153522729873657,1.9314111909807252e-07,,,,,,8.0,60.54296112060547,67.52906799316406,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,27,,,,4.806336879730225,1.6994361877441406,1.6994361877441406,1.9314111909807252e-07,,,,,,8.0,74.08888244628906,185.09153747558594,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,,,pooled_block,,,,,,6.821267127990723,,1.0921961069107056,1.0784461498260498,0.013959350995719433,8.0,,,snapshot_aggregate,0,phase2-selected,,0.0,0.0,0.0,0.0,0.0,,,117.74928283691406,41.63066482543945,41.63066482543945,0.0,
,,,I_shuffle,0,,,,3.0892343521118164,1.0921961069107056,1.092195987701416,4.214684778958144e-08,,,,,,8.0,3116.116455078125,16.435413360595703,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,7,,,,3.042977809906006,1.075972080230713,1.075972080230713,4.214684778958144e-08,,,,,,8.0,146.28436279296875,32.222251892089844,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,14,,,,2.9805448055267334,1.0536820888519287,1.0536820888519287,4.214684778958144e-08,,,,,,8.0,77.89840698242188,62.56132507324219,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,21,,,,3.0866541862487793,1.0913105010986328,1.0913103818893433,8.429369557916289e-08,,,,,,8.0,51.405494689941406,62.751277923583984,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,27,,,,3.0521750450134277,1.0790700912475586,1.0790700912475586,1.115100829451876e-07,,,,,,8.0,61.878604888916016,240.89096069335938,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_zero,,,pooled_block,,,,,,0.0,,0.0,0.0,0.0,8.0,,,snapshot_aggregate,0,phase2-selected,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
,,,I_zero,0,,,,0.0,0.0,0.0,0.0,,,,,,8.0,3118.994384765625,10.266121864318848,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_zero,7,,,,0.0,0.0,0.0,0.0,,,,,,8.0,138.72927856445312,5.444733619689941,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_zero,14,,,,0.0,0.0,0.0,0.0,,,,,,8.0,25.89426612854004,5.364916801452637,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_zero,21,,,,0.0,0.0,0.0,0.0,,,,,,8.0,30.194124221801758,11.934253692626953,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_zero,27,,,,0.0,0.0,0.0,0.0,,,,,,8.0,42.11817169189453,28.961502075195312,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,,,pooled_block,,,,,,22.72242546081543,,3.710507392883301,3.591627597808838,0.08894630521535873,8.0,,,snapshot_aggregate,4,phase2-selected,,0.0,0.0,0.0,0.0,0.0,,,117.7492904663086,41.63066482543945,41.63066101074219,1.3486991292666062e-06,
,,,I_real,0,,,,10.389477729797363,3.6728169918060303,3.672816753387451,2.230201658903752e-07,,,,,,8.0,3114.541748046875,18.129863739013672,snapshot_layer,4,phase2-selected,,,,,,,,,,,,,
,,,I_real,7,,,,10.495590209960938,3.710507392883301,3.7105069160461426,3.264680970005429e-07,,,,,,8.0,141.76953125,33.406394958496094,snapshot_layer,4,phase2-selected,,,,,,,,,,,,,
,,,I_real,14,,,,9.830530166625977,3.475334644317627,3.475334405899048,1.6858739115832577e-07,,,,,,8.0,75.78142547607422,60.04343032836914,snapshot_layer,4,phase2-selected,,,,,,,,,,,,,
,,,I_real,21,,,,9.955055236816406,3.519740104675293,3.519739866256714,2.0647654253025394e-07,,,,,,8.0,56.757606506347656,73.5487060546875,snapshot_layer,4,phase2-selected,,,,,,,,,,,,,
,,,I_real,27,,,,10.124701499938965,3.5797412395477295,3.5797410011291504,2.384185791015625e-07,,,,,,8.0,72.51530456542969,196.5164337158203,snapshot_layer,4,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,,,pooled_block,,,,,,21.33686065673828,,3.438352108001709,3.3734283447265625,0.03896219655871391,8.0,,,snapshot_aggregate,4,phase2-selected,,0.0,0.0,0.0,0.0,0.0,,,117.7492904663086,41.63066482543945,41.63066101074219,3.303624680484063e-06,
,,,I_shuffle,0,,,,9.72558879852295,3.438352108001709,3.438352108001709,3.264680970005429e-07,,,,,,8.0,3119.39794921875,17.20444107055664,snapshot_layer,4,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,7,,,,9.38693618774414,3.3187291622161865,3.3187289237976074,2.230201658903752e-07,,,,,,8.0,150.63470458984375,32.6008415222168,snapshot_layer,4,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,14,,,,9.565650939941406,3.382073163986206,3.382072687149048,2.6656007889869215e-07,,,,,,8.0,85.56275177001953,66.68621826171875,snapshot_layer,4,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,21,,,,9.538005828857422,3.3720693588256836,3.3720688819885254,3.1539812539449485e-07,,,,,,8.0,50.91215133666992,71.42403411865234,snapshot_layer,4,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,27,,,,9.492630004882812,3.3559188842773438,3.3559186458587646,1.4600097131278744e-07,,,,,,8.0,67.66741180419922,218.47369384765625,snapshot_layer,4,phase2-selected,,,,,,,,,,,,,
,,,I_zero,,,pooled_block,,,,,,0.0,,0.0,0.0,0.0,8.0,,,snapshot_aggregate,4,phase2-selected,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
,,,I_zero,0,,,,0.0,0.0,0.0,0.0,,,,,,8.0,3118.994384765625,10.266121864318848,snapshot_layer,4,phase2-selected,,,,,,,,,,,,,
,,,I_zero,7,,,,0.0,0.0,0.0,0.0,,,,,,8.0,138.72927856445312,5.444733619689941,snapshot_layer,4,phase2-selected,,,,,,,,,,,,,
,,,I_zero,14,,,,0.0,0.0,0.0,0.0,,,,,,8.0,25.89426612854004,5.364916801452637,snapshot_layer,4,phase2-selected,,,,,,,,,,,,,
,,,I_zero,21,,,,0.0,0.0,0.0,0.0,,,,,,8.0,30.194124221801758,11.934253692626953,snapshot_layer,4,phase2-selected,,,,,,,,,,,,,
,,,I_zero,27,,,,0.0,0.0,0.0,0.0,,,,,,8.0,42.11817169189453,28.961502075195312,snapshot_layer,4,phase2-selected,,,,,,,,,,,,,
,,,I_real,,,pooled_block,,,,,,33.13407516479492,,5.397164344787598,5.23803186416626,0.09857870638370514,8.0,,,snapshot_aggregate,8,phase2-selected,,0.0,0.0,0.0,0.0,0.0,,,117.75174713134766,41.631526947021484,41.631526947021484,2.336015541004599e-06,
,,,I_real,0,,,,14.963648796081543,5.289970874786377,5.289970397949219,2.920019426255749e-07,,,,,,8.0,3113.908203125,17.884525299072266,snapshot_layer,8,phase2-selected,,,,,,,,,,,,,
,,,I_real,7,,,,15.265114784240723,5.397164344787598,5.3971638679504395,1.6858739115832577e-07,,,,,,8.0,141.39285278320312,32.788543701171875,snapshot_layer,8,phase2-selected,,,,,,,,,,,,,
,,,I_real,14,,,,14.447043418884277,5.10720157623291,5.107201099395752,3.3717478231665154e-07,,,,,,8.0,80.85760498046875,59.9875373840332,snapshot_layer,8,phase2-selected,,,,,,,,,,,,,
,,,I_real,21,,,,14.671517372131348,5.187132358551025,5.187131881713867,1.6858739115832577e-07,,,,,,8.0,57.893959045410156,75.04412841796875,snapshot_layer,8,phase2-selected,,,,,,,,,,,,,
,,,I_real,27,,,,14.733917236328125,5.208693981170654,5.208693981170654,1.6858739115832577e-07,,,,,,8.0,71.08173370361328,202.14678955078125,snapshot_layer,8,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,,,pooled_block,,,,,,29.22035026550293,,4.691896438598633,4.61975622177124,0.0596269853413105,8.0,,,snapshot_aggregate,8,phase2-selected,,0.0,0.0,0.0,0.0,0.0,,,117.75753784179688,41.633583068847656,41.63357925415039,3.814697265625e-06,
,,,I_shuffle,0,,,,13.27164077758789,4.691896438598633,4.691895961761475,2.920019426255749e-07,,,,,,8.0,3121.039306640625,17.37065315246582,snapshot_layer,8,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,7,,,,12.786699295043945,4.521136283874512,4.52113676071167,4.76837158203125e-07,,,,,,8.0,151.262939453125,33.855140686035156,snapshot_layer,8,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,14,,,,13.07556438446045,4.623058319091797,4.623057842254639,1.6858739115832577e-07,,,,,,8.0,88.96430206298828,67.46707916259766,snapshot_layer,8,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,21,,,,13.198953628540039,4.667173862457275,4.667173385620117,1.6858739115832577e-07,,,,,,8.0,51.8359260559082,74.35894012451172,snapshot_layer,8,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,27,,,,12.997384071350098,4.595517158508301,4.595516681671143,4.76837158203125e-07,,,,,,8.0,69.99861907958984,223.24917602539062,snapshot_layer,8,phase2-selected,,,,,,,,,,,,,
,,,I_zero,,,pooled_block,,,,,,0.0,,0.0,0.0,0.0,8.0,,,snapshot_aggregate,8,phase2-selected,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
,,,I_zero,0,,,,0.0,0.0,0.0,0.0,,,,,,8.0,3118.994384765625,10.266121864318848,snapshot_layer,8,phase2-selected,,,,,,,,,,,,,
,,,I_zero,7,,,,0.0,0.0,0.0,0.0,,,,,,8.0,138.72927856445312,5.444733619689941,snapshot_layer,8,phase2-selected,,,,,,,,,,,,,
,,,I_zero,14,,,,0.0,0.0,0.0,0.0,,,,,,8.0,25.89426612854004,5.364916801452637,snapshot_layer,8,phase2-selected,,,,,,,,,,,,,
,,,I_zero,21,,,,0.0,0.0,0.0,0.0,,,,,,8.0,30.194124221801758,11.934253692626953,snapshot_layer,8,phase2-selected,,,,,,,,,,,,,
,,,I_zero,27,,,,0.0,0.0,0.0,0.0,,,,,,8.0,42.11817169189453,28.961502075195312,snapshot_layer,8,phase2-selected,,,,,,,,,,,,,
,,,I_real,,,pooled_block,,,,,,44.46315002441406,,7.227911472320557,7.029360771179199,0.11122044920921326,8.0,,,snapshot_aggregate,16,phase2-selected,,0.0,0.0,0.0,0.0,0.0,,,117.75865936279297,41.63397216796875,41.633968353271484,2.336015541004599e-06,
,,,I_real,0,,,,19.911256790161133,7.039575576782227,7.03957462310791,5.59141142275621e-07,,,,,,8.0,3113.94482421875,17.772314071655273,snapshot_layer,16,phase2-selected,,,,,,,,,,,,,
,,,I_real,7,,,,20.443065643310547,7.227911472320557,7.227911949157715,9.830249609876773e-07,,,,,,8.0,141.04222106933594,32.240474700927734,snapshot_layer,16,phase2-selected,,,,,,,,,,,,,
,,,I_real,14,,,,19.482471466064453,6.887824058532715,6.887824058532715,2.920019426255749e-07,,,,,,8.0,85.59225463867188,60.60057067871094,snapshot_layer,16,phase2-selected,,,,,,,,,,,,,
