accuracy,dominant_label_fraction,mode,primary_metric,primary_score,run_dir
0.29435483870967744,1.0,A:inline_short_labels:none,macro_f1,0.15160955347871236,results/generated/m4-fever-shared-injection-qwen25-v5/phase0-gate-sweep
0.29435483870967744,1.0,T:inline_short_labels:flat_raw8,macro_f1,0.15160955347871236,results/generated/m4-fever-shared-injection-qwen25-v5/phase0-gate-sweep
0.29435483870967744,1.0,T:inline_short_labels:example_blocks_raw8,macro_f1,0.15160955347871236,results/generated/m4-fever-shared-injection-qwen25-v5/phase0-gate-sweep
0.29435483870967744,1.0,T:inline_short_labels:triad_curated6,macro_f1,0.15160955347871236,results/generated/m4-fever-shared-injection-qwen25-v5/phase0-gate-sweep
0.29435483870967744,1.0,A:answer_slot_labels:none,macro_f1,0.15160955347871236,results/generated/m4-fever-shared-injection-qwen25-v5/phase0-gate-sweep
0.5201612903225806,0.7661290322580645,T:answer_slot_labels:flat_raw8,macro_f1,0.471416344315504,results/generated/m4-fever-shared-injection-qwen25-v5/phase0-gate-sweep
0.7217741935483871,0.5241935483870968,T:answer_slot_labels:example_blocks_raw8,macro_f1,0.6868094914612671,results/generated/m4-fever-shared-injection-qwen25-v5/phase0-gate-sweep
0.5806451612903226,0.657258064516129,T:answer_slot_labels:triad_curated6,macro_f1,0.5652927161002673,results/generated/m4-fever-shared-injection-qwen25-v5/phase0-gate-sweep
0.29435483870967744,1.0,A:verbalized_decisions:none,macro_f1,0.15160955347871236,results/generated/m4-fever-shared-injection-qwen25-v5/phase0-gate-sweep
0.29435483870967744,1.0,T:verbalized_decisions:flat_raw8,macro_f1,0.15160955347871236,results/generated/m4-fever-shared-injection-qwen25-v5/phase0-gate-sweep
0.29435483870967744,1.0,T:verbalized_decisions:example_blocks_raw8,macro_f1,0.15160955347871236,results/generated/m4-fever-shared-injection-qwen25-v5/phase0-gate-sweep
0.3024193548387097,0.9919354838709677,T:verbalized_decisions:triad_curated6,macro_f1,0.16843309946758223,results/generated/m4-fever-shared-injection-qwen25-v5/phase0-gate-sweep
