accuracy,auroc,balanced_accuracy,feature_mode,macro_f1,model_kind,primary_metric,probe_name
0.47580644488334656,nan,nan,real,0.4513351479913009,linear,macro_f1,label_probe_3way
0.47983870655298233,nan,nan,real,0.44342590479034744,mlp,macro_f1,label_probe_3way
0.36693548411130905,nan,nan,shuffle,0.3498548270044403,linear,macro_f1,label_probe_3way
0.314516119658947,nan,nan,shuffle,0.28332844362228066,mlp,macro_f1,label_probe_3way
0.3749999925494194,nan,nan,zero,0.18110892361538355,linear,macro_f1,label_probe_3way
0.3749999925494194,nan,nan,zero,0.18110892361538355,mlp,macro_f1,label_probe_3way
0.6935483813285828,0.7724057678317794,0.6613636840905273,real,nan,linear,auroc,verifiability_probe
0.6693548411130905,0.7475892962336821,0.6353307894316067,real,nan,mlp,auroc,verifiability_probe
0.584677442908287,0.5568350001901283,0.5543599985615699,shuffle,nan,linear,auroc,verifiability_probe
0.5766129046678543,0.5370053000614956,0.534154786177295,shuffle,nan,mlp,auroc,verifiability_probe
0.625,0.46820484299761966,0.5,zero,nan,linear,auroc,verifiability_probe
0.625,0.4429947589640062,0.5,zero,nan,mlp,auroc,verifiability_probe
0.52226722240448,0.5326115711985278,0.5291213768115942,real,nan,linear,auroc,polarity_probe
0.5227732881903648,0.5533996146767886,0.5319088595583161,real,nan,mlp,auroc,polarity_probe
0.470816470682621,0.4599033816425121,0.47002566425120773,shuffle,nan,linear,auroc,polarity_probe
0.52226722240448,0.48626854727398205,0.5193128881987578,shuffle,nan,mlp,auroc,polarity_probe
0.5290148630738258,0.440602714515758,0.5,zero,nan,linear,auroc,polarity_probe
0.5290148630738258,0.440602714515758,0.5,zero,nan,mlp,auroc,polarity_probe
