mode,primary_metric,primary_score,run_dir
label_probe_3way:real:linear,macro_f1,0.4192720595117444,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
label_probe_3way:real:mlp,macro_f1,0.44342590479034744,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
label_probe_3way:shuffle:linear,macro_f1,0.3498548270044403,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
label_probe_3way:shuffle:mlp,macro_f1,0.28332844362228066,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
label_probe_3way:zero:linear,macro_f1,0.18110892361538355,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
label_probe_3way:zero:mlp,macro_f1,0.18110892361538355,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
verifiability_probe:real:linear,auroc,0.7724057678317794,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
verifiability_probe:real:mlp,auroc,0.7475892962336821,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
verifiability_probe:shuffle:linear,auroc,0.5568350001901283,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
verifiability_probe:shuffle:mlp,auroc,0.5370053000614956,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
verifiability_probe:zero:linear,auroc,0.46820484299761966,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
verifiability_probe:zero:mlp,auroc,0.4429947589640062,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
polarity_probe:real:linear,auroc,0.5326115711985278,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
polarity_probe:real:mlp,auroc,0.5533996146767886,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
polarity_probe:shuffle:linear,auroc,0.4599033816425121,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
polarity_probe:shuffle:mlp,auroc,0.48626854727398205,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
polarity_probe:zero:linear,auroc,0.440602714515758,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
polarity_probe:zero:mlp,auroc,0.440602714515758,results/generated/m4-fever-shared-injection-qwen25-v3/phase1-writer-audit
