example_id,margin_gap,real_margin,zero_margin
106308,0.0,0.0,0.0
112137,0.0,0.0,0.0
114158,0.0,0.0,0.0
115920,0.0,0.0,0.0
118434,0.0,0.0,0.0
119227,0.0,0.0,0.0
121548,0.0,0.0,0.0
124578,0.0,0.0,0.0
128004,0.0,0.0,0.0
130048,0.0,0.0,0.0
131105,0.0,0.0,0.0
132874,0.0,0.0,0.0
143242,0.0,0.0,0.0
144391,0.0,0.0,0.0
145707,0.0,0.0,0.0
155125,0.0,0.0,0.0
168637,0.0,0.0,0.0
173055,0.0,0.0,0.0
174986,0.0,0.0,0.0
179831,0.0,0.0,0.0
1799,0.0,0.0,0.0
183417,0.0,0.0,0.0
184285,0.0,0.0,0.0
185999,0.0,0.0,0.0
19068,0.0,0.0,0.0
1933,0.0,0.0,0.0
195124,0.0,0.0,0.0
195202,0.0,0.0,0.0
198544,0.0,0.0,0.0
204560,0.0,0.0,0.0
204575,0.0,0.0,0.0
21190,0.0,0.0,0.0
219200,0.0,0.0,0.0
219675,0.0,0.0,0.0
221137,0.0,0.0,0.0
225863,0.0,0.0,0.0
22726,0.0,0.0,0.0
3588,0.0,0.0,0.0
39150,0.0,0.0,0.0
39811,0.0,0.0,0.0
44397,0.0,0.0,0.0
45394,0.0,0.0,0.0
46582,0.0,0.0,0.0
52287,0.0,0.0,0.0
54789,0.0,0.0,0.0
55835,0.0,0.0,0.0
56960,0.0,0.0,0.0
58396,0.0,0.0,0.0
59603,0.0,0.0,0.0
59890,0.0,0.0,0.0
60241,0.0,0.0,0.0
6032,0.0,0.0,0.0
61136,0.0,0.0,0.0
75288,0.0,0.0,0.0
75311,0.0,0.0,0.0
75778,0.0,0.0,0.0
80212,0.0,0.0,0.0
80650,0.0,0.0,0.0
82580,0.0,0.0,0.0
8298,0.0,0.0,0.0
84675,0.0,0.0,0.0
85093,0.0,0.0,0.0
94252,0.0,0.0,0.0
97937,0.0,0.0,0.0
