accuracy,auroc,feature_mode,model_kind,target_name,task_kind
0.703125,nan,real,linear,label_probe,multiclass
0.703125,nan,real,mlp,label_probe,multiclass
0.609375,nan,shuffled,linear,label_probe,multiclass
0.75,nan,shuffled,mlp,label_probe,multiclass
0.75,nan,zero,linear,label_probe,multiclass
0.75,nan,zero,mlp,label_probe,multiclass
0.671875,0.5732007575757576,real,linear,base_margin_sign_probe,binary
0.65625,0.40208333333333335,real,mlp,base_margin_sign_probe,binary
0.609375,0.4120265151515151,shuffled,linear,base_margin_sign_probe,binary
0.75,0.4491477272727273,shuffled,mlp,base_margin_sign_probe,binary
0.75,0.6462121212121212,zero,linear,base_margin_sign_probe,binary
0.75,0.6462121212121212,zero,mlp,base_margin_sign_probe,binary
0.625,0.5409090909090909,real,linear,teacher_gain_probe,binary
0.703125,0.5287878787878788,real,mlp,teacher_gain_probe,binary
0.59375,0.3196969696969697,shuffled,linear,teacher_gain_probe,binary
0.75,0.4483901515151515,shuffled,mlp,teacher_gain_probe,binary
0.75,0.3537878787878788,zero,linear,teacher_gain_probe,binary
0.75,0.3537878787878788,zero,mlp,teacher_gain_probe,binary
