example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,3,A,16,19,-0.022852522427918482,I_real,0,phase2-selected
61,0,I_shuffle,1,1,0.01877157805395908,I_real,0,phase2-selected
61,5,I_zero,4,9,0.42971748602194865,I_real,0,phase2-selected
61,1,A,17,18,0.655451524453085,I_real,2,phase2-selected
61,-1,I_shuffle,3,2,0.21483094574975187,I_real,2,phase2-selected
61,3,I_zero,5,8,1.1080215329029521,I_real,2,phase2-selected
61,0,A,17,17,0.542259482086682,I_real,4,phase2-selected
61,-2,I_shuffle,2,0,-0.08821968954117572,I_real,4,phase2-selected
61,2,I_zero,7,9,0.994829490536549,I_real,4,phase2-selected
61,3,A,8,11,1.2160760535568487,I_real,8,phase2-selected
61,0,I_shuffle,5,5,0.3323658958810275,I_real,8,phase2-selected
61,5,I_zero,7,12,1.6686460620067158,I_real,8,phase2-selected
61,0,A,1,1,1.2646891328155017,I_real,12,phase2-selected
61,0,I_shuffle,1,1,0.662797990392466,I_real,12,phase2-selected
61,2,I_zero,12,14,1.7172591412653688,I_real,12,phase2-selected
61,0,A,0,0,0.9418499899692223,I_real,16,phase2-selected
61,0,I_shuffle,0,0,0.7939627287817783,I_real,16,phase2-selected
61,2,I_zero,12,14,1.3944199984190895,I_real,16,phase2-selected
61,0,A,0,0,-0.7939362604109967,I_real,24,phase2-selected
61,0,I_shuffle,0,0,0.6518926151463242,I_real,24,phase2-selected
61,2,I_zero,12,14,-0.34136625196112963,I_real,24,phase2-selected
61,0,A,0,0,-2.9623617578725345,I_real,32,phase2-selected
61,0,I_shuffle,0,0,-0.40086299083271965,I_real,32,phase2-selected
61,2,I_zero,12,14,-2.5097917494226674,I_real,32,phase2-selected
