alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,0,phase2-selected,0.26229508196721313
I_real,0.9508196721311475,0.22588522588522586,-2.6970492816362226,0,phase2-selected,0.3442622950819672
I_shuffle,0.9508196721311475,0.22588522588522586,-2.7158208596901816,0,phase2-selected,0.3442622950819672
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,2,phase2-selected,0.26229508196721313
I_real,0.9508196721311475,0.1855921855921856,-2.018745234755219,2,phase2-selected,0.3114754098360656
I_shuffle,0.9672131147540983,0.19367088607594937,-2.2335761805049708,2,phase2-selected,0.32786885245901637
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,4,phase2-selected,0.26229508196721313
I_real,0.7540983606557377,0.1919191919191919,-2.131937277121622,4,phase2-selected,0.29508196721311475
I_shuffle,0.8360655737704918,0.21663313212608992,-2.0437175875804465,4,phase2-selected,0.32786885245901637
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,8,phase2-selected,0.26229508196721313
I_real,0.6065573770491803,0.2878787878787879,-1.4581207056514551,8,phase2-selected,0.3442622950819672
I_shuffle,0.5901639344262295,0.2864197530864198,-1.7904866015324827,8,phase2-selected,0.3442622950819672
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,12,phase2-selected,0.26229508196721313
I_real,0.9672131147540983,0.1774891774891775,-1.4095076263928024,12,phase2-selected,0.29508196721311475
I_shuffle,0.9344262295081968,0.1977777777777778,-2.0723056167852683,12,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,16,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-1.7323467692390817,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-2.52630949802086,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,24,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-3.4681330196193008,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.120025634765625,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,32,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-5.6365585170808385,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.235695526248119,32,phase2-selected,0.29508196721311475
