bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,0.01877157805395908,0.42971748602194865,0,phase2-selected
A_wrong,43,-0.01682640785394713,1.4148110678029615,0,phase2-selected
SUPPORTS,18,0.10381121105617946,-1.9235616260104709,0,phase2-selected
REFUTES,20,0.11162047386169434,3.3508838176727296,0,phase2-selected
NOT_ENOUGH_INFO,23,-0.12851934847624405,-0.26873045382292376,0,phase2-selected
overall,61,-0.08883304283267161,0.8664467452002353,2,phase2-selected
A_wrong,43,-0.11871062877566316,1.5396279623342115,2,phase2-selected
SUPPORTS,18,-0.017458809746636286,-0.7417083846198188,2,phase2-selected
REFUTES,20,-0.48400225639343264,1.870200252532959,2,phase2-selected
NOT_ENOUGH_INFO,23,0.19893426480500595,1.2521737969439963,2,phase2-selected
overall,61,-0.018856517604139984,1.0253666424360433,4,phase2-selected
A_wrong,43,0.10060953539471294,1.5737839632256085,4,phase2-selected
SUPPORTS,18,-0.3042476442125108,-0.2847414016723633,4,phase2-selected
REFUTES,20,-0.0992523193359375,0.5367086410522461,4,phase2-selected
NOT_ENOUGH_INFO,23,0.2744024525518003,2.475588591202446,4,phase2-selected
overall,61,0.1315302770645892,0.944219886279497,8,phase2-selected
A_wrong,43,-0.03315331215082213,0.6548608735550282,8,phase2-selected
SUPPORTS,18,0.5249410735236274,1.6354664166768391,8,phase2-selected
REFUTES,20,-0.28846006393432616,-1.6344869613647461,8,phase2-selected
NOT_ENOUGH_INFO,23,0.18885255896526834,2.6455981213113535,8,phase2-selected
overall,61,0.21082979733826684,0.9496372566848504,12,phase2-selected
A_wrong,43,0.33874050406522527,-0.2258179686790289,12,phase2-selected
SUPPORTS,18,-0.09473466873168945,3.7576691839430065,12,phase2-selected
REFUTES,20,0.5053655624389648,-3.2675375938415527,12,phase2-selected
NOT_ENOUGH_INFO,23,0.19384914895762567,2.419155618418818,12,phase2-selected
overall,61,0.334709355088531,0.6652705708488089,16,phase2-selected
A_wrong,43,0.7456023415853811,-1.3132950760597406,16,phase2-selected
SUPPORTS,18,-0.6468683348761665,5.3918440606859,16,phase2-selected
REFUTES,20,0.9998960018157959,-5.167817640304565,16,phase2-selected
NOT_ENOUGH_INFO,23,0.5244774196458899,2.0384636754574985,16,phase2-selected
overall,61,1.6278937761900856,-0.36212888311167235,24,phase2-selected
A_wrong,43,2.630063544872195,-4.339108200960381,24,phase2-selected
SUPPORTS,18,-0.7661784489949545,9.138432820638021,24,phase2-selected
REFUTES,20,1.9006638526916504,-8.856443691253663,24,phase2-selected
NOT_ENOUGH_INFO,23,3.2643241467683213,-0.41099038331404975,24,phase2-selected
overall,61,3.126273061408371,-0.9412389817785044,32,phase2-selected
A_wrong,43,4.813173704369124,-6.3404886001764345,32,phase2-selected
SUPPORTS,18,-0.9035451412200928,11.956968439949883,32,phase2-selected
REFUTES,20,2.1488645315170287,-11.332906651496888,32,phase2-selected
NOT_ENOUGH_INFO,23,7.129964289457901,-1.9992555120716924,32,phase2-selected
