alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,0,phase2-selected,0.26229508196721313
I_real,0.9508196721311475,0.22588522588522586,-2.6970492816362226,0,phase2-selected,0.3442622950819672
I_shuffle,0.9508196721311475,0.22588522588522586,-2.7158208596901816,0,phase2-selected,0.3442622950819672
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,2,phase2-selected,0.26229508196721313
I_real,0.9508196721311475,0.1855921855921856,-2.2603200224579356,2,phase2-selected,0.3114754098360656
I_shuffle,0.9508196721311475,0.22588522588522586,-2.1714869796252643,2,phase2-selected,0.3442622950819672
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,4,phase2-selected,0.26229508196721313
I_real,0.819672131147541,0.18095238095238095,-2.101400125222128,4,phase2-selected,0.3114754098360656
I_shuffle,0.7868852459016393,0.25268817204301075,-2.082543607617988,4,phase2-selected,0.3442622950819672
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,8,phase2-selected,0.26229508196721313
I_real,0.6557377049180327,0.32155873282870756,-2.182546881378674,8,phase2-selected,0.3770491803278688
I_shuffle,0.6065573770491803,0.2636363636363636,-2.314077158443263,8,phase2-selected,0.3114754098360656
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,12,phase2-selected,0.26229508196721313
I_real,0.9836065573770492,0.1855921855921856,-2.1771295109733204,12,phase2-selected,0.3114754098360656
I_shuffle,0.9836065573770492,0.1855921855921856,-2.3879593083115873,12,phase2-selected,0.3114754098360656
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,16,phase2-selected,0.26229508196721313
I_real,0.9836065573770492,0.1452991452991453,-2.461496196809362,16,phase2-selected,0.2786885245901639
I_shuffle,1.0,0.1518987341772152,-2.796205551897893,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,24,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-3.4888956507698436,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.1167894269599286,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,32,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-4.068005749436676,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-7.194278810845047,32,phase2-selected,0.29508196721311475
