alignment_aux_active,alignment_aux_loss,alignment_aux_mode,arm_alias,layer_index,loss,pilot_support_encoder_mode,pilot_trainable_variant,prefix_hidden_l2,prefix_hidden_slot_norm_max,prefix_hidden_slot_norm_mean,prefix_hidden_slot_norm_std,prefix_l2,prefix_projector_grad_norm,prefix_slot_norm_max,prefix_slot_norm_mean,prefix_slot_norm_std,prefix_tokens,projected_k_l2,projected_v_l2,row_type,step,suite,support_encoder_grad_norm,support_item_count,support_item_hidden_l2,support_item_hidden_norm_max,support_item_hidden_norm_mean,support_item_hidden_norm_std,total_grad_norm_pre_clip,writer_grad_norm,writer_memory_l2,writer_slot_norm_max,writer_slot_norm_mean,writer_slot_norm_std,writer_to_projector_grad_ratio
,,,I_real,,,structured_support_set,,,,,,65.00129699707031,,10.514363288879395,10.276042938232422,0.1795378029346466,8.0,,,snapshot_aggregate,0,phase2-selected,,6.0,96.09494018554688,39.23228073120117,39.2306022644043,0.001296027097851038,,,117.73040008544922,41.62397766113281,41.62397384643555,1.3486991292666062e-06,
,,,I_real,0,,,,29.272642135620117,10.349554061889648,10.349553108215332,5.840038852511498e-07,,,,,,8.0,3116.882080078125,21.728416442871094,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,7,,,,28.709665298461914,10.150084495544434,10.150084495544434,4.76837158203125e-07,,,,,,8.0,149.99070739746094,42.510047912597656,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,14,,,,28.289722442626953,10.00168228149414,10.00168228149414,5.840038852511498e-07,,,,,,8.0,97.99698638916016,78.74329376220703,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,21,,,,29.73933219909668,10.514363288879395,10.514362335205078,6.743495646333031e-07,,,,,,8.0,60.28038024902344,75.60037231445312,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,27,,,,29.31466293334961,10.36452865600586,10.364527702331543,3.3717478231665154e-07,,,,,,8.0,78.27092742919922,220.1636505126953,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,,,structured_support_set,,,,,,65.00128936767578,,10.514361381530762,10.276040077209473,0.17953772842884064,8.0,,,snapshot_aggregate,0,phase2-selected,,6.0,96.0954360961914,39.23244094848633,39.23080062866211,0.001495519420132041,,,117.73040008544922,41.62397766113281,41.62397766113281,2.6973982585332124e-06,
,,,I_shuffle,0,,,,29.272640228271484,10.349553108215332,10.349553108215332,8.920806635615008e-07,,,,,,8.0,3116.882080078125,21.728412628173828,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,7,,,,28.709665298461914,10.150083541870117,10.150083541870117,8.259061701210157e-07,,,,,,8.0,149.99070739746094,42.510047912597656,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,14,,,,28.289722442626953,10.001681327819824,10.001680374145508,7.539457556049456e-07,,,,,,8.0,97.99698638916016,78.74329376220703,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,21,,,,29.73933219909668,10.514361381530762,10.514360427856445,5.840038852511498e-07,,,,,,8.0,60.28038024902344,75.60037231445312,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,27,,,,29.31466293334961,10.364526748657227,10.36452579498291,4.76837158203125e-07,,,,,,8.0,78.27092742919922,220.1636505126953,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_zero,,,pooled_block,,,,,,1.033820390701294,,0.18989966809749603,0.16223151981830597,0.020014354959130287,8.0,,,snapshot_aggregate,0,phase2-selected,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
,,,I_zero,0,,,,0.36570510268211365,0.12929028272628784,0.12929028272628784,0.0,,,,,,8.0,3113.552001953125,29.15438461303711,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_zero,7,,,,0.47786945104599,0.16894391179084778,0.16894389688968658,1.4901161193847656e-08,,,,,,8.0,156.9075469970703,73.5356674194336,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_zero,14,,,,0.43622106313705444,0.15422731637954712,0.15422731637954712,0.0,,,,,,8.0,163.94216918945312,125.2828140258789,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_zero,21,,,,0.47741416096687317,0.1687963455915451,0.1687963306903839,1.4901161193847656e-08,,,,,,8.0,97.11265563964844,113.81671905517578,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_zero,27,,,,0.5370827913284302,0.18989966809749603,0.18989966809749603,0.0,,,,,,8.0,125.32305908203125,221.6431884765625,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,,,structured_support_set,,,,,,65.10713958740234,,10.512272834777832,10.29279899597168,0.17896942794322968,8.0,,,snapshot_aggregate,2,phase2-selected,,6.0,96.09700012207031,39.23313522338867,39.23143005371094,0.0013369511580094695,,,117.73107147216797,41.62422561645508,41.62422180175781,1.3486991292666062e-06,
,,,I_real,0,,,,29.38307762145996,10.389764785766602,10.389763832092285,8.920806635615008e-07,,,,,,8.0,3114.874755859375,21.75916862487793,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_real,7,,,,28.69212532043457,10.143150329589844,10.143150329589844,3.3717478231665154e-07,,,,,,8.0,150.04119873046875,42.41920471191406,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_real,14,,,,28.357995986938477,10.02736759185791,10.027366638183594,4.76837158203125e-07,,,,,,8.0,96.87470245361328,78.03321838378906,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_real,21,,,,29.73265266418457,10.512272834777832,10.512271881103516,4.76837158203125e-07,,,,,,8.0,59.94461441040039,75.67092895507812,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_real,27,,,,29.39188003540039,10.391443252563477,10.39144229888916,8.920806635615008e-07,,,,,,8.0,77.83372497558594,219.83180236816406,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,,,structured_support_set,,,,,,64.98048400878906,,10.498566627502441,10.272727966308594,0.18081988394260406,8.0,,,snapshot_aggregate,2,phase2-selected,,6.0,96.09609985351562,39.232696533203125,39.2310676574707,0.0014978513354435563,,,117.7306137084961,41.62406921386719,41.62406921386719,0.0,
,,,I_shuffle,0,,,,29.322999954223633,10.366781234741211,10.366782188415527,9.5367431640625e-07,,,,,,8.0,3115.549072265625,21.74513053894043,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,7,,,,28.663599014282227,10.132874488830566,10.132874488830566,0.0,,,,,,8.0,150.07994079589844,42.56161880493164,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,14,,,,28.2803955078125,9.998501777648926,9.998501777648926,0.0,,,,,,8.0,97.44446563720703,78.27623748779297,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,21,,,,29.69256591796875,10.498566627502441,10.498566627502441,0.0,,,,,,8.0,60.01322555541992,75.73106384277344,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,27,,,,29.322921752929688,10.366914749145508,10.366913795471191,5.840038852511498e-07,,,,,,8.0,78.15314483642578,219.96014404296875,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_zero,,,pooled_block,,,,,,1.033820390701294,,0.18989966809749603,0.16223151981830597,0.020014354959130287,8.0,,,snapshot_aggregate,2,phase2-selected,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
,,,I_zero,0,,,,0.36570510268211365,0.12929028272628784,0.12929028272628784,0.0,,,,,,8.0,3113.552001953125,29.15438461303711,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_zero,7,,,,0.47786945104599,0.16894391179084778,0.16894389688968658,1.4901161193847656e-08,,,,,,8.0,156.9075469970703,73.5356674194336,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
