bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,0.01877157805395908,0.42971748602194865,0,phase2-selected
A_wrong,43,-0.01682640785394713,1.4148110678029615,0,phase2-selected
SUPPORTS,18,0.10381121105617946,-1.9235616260104709,0,phase2-selected
REFUTES,20,0.11162047386169434,3.3508838176727296,0,phase2-selected
NOT_ENOUGH_INFO,23,-0.12851934847624405,-0.26873045382292376,0,phase2-selected
overall,61,-0.38114297585409196,0.6190994606643426,2,phase2-selected
A_wrong,43,-0.2650069968644963,1.4365076242491257,2,phase2-selected
SUPPORTS,18,-0.6585789256625705,-1.3335978190104167,2,phase2-selected
REFUTES,20,-0.3942566871643066,1.768610429763794,2,phase2-selected
NOT_ENOUGH_INFO,23,-0.15261596182118292,1.147722575975501,2,phase2-selected
overall,61,0.007564497775718814,1.2677321824871126,4,phase2-selected
A_wrong,43,-0.2634881707124932,1.687214030775913,4,phase2-selected
SUPPORTS,18,0.655079205830892,0.26563665601942277,4,phase2-selected
REFUTES,20,0.13126206398010254,0.6944133758544921,4,phase2-selected
NOT_ENOUGH_INFO,23,-0.6067492443582286,2.5505189480988877,4,phase2-selected
overall,61,-0.12098312377929688,1.2749595485749792,8,phase2-selected
A_wrong,43,-0.28607182170069495,0.9658687502838844,8,phase2-selected
SUPPORTS,18,0.2733954323662652,2.0133431222703724,8,phase2-selected
REFUTES,20,-0.14139385223388673,-1.593758773803711,8,phase2-selected
NOT_ENOUGH_INFO,23,-0.4118787516718325,3.1916318147078804,8,phase2-selected
overall,61,-0.07801266967273149,0.9988675664682858,12,phase2-selected
A_wrong,43,-0.21568575570749682,-0.12738400836323582,12,phase2-selected
SUPPORTS,18,0.25087303585476345,3.6893574396769204,12,phase2-selected
REFUTES,20,0.23551468849182128,-3.700161647796631,12,phase2-selected
NOT_ENOUGH_INFO,23,-0.60803396805473,2.9793791563614556,12,phase2-selected
overall,61,-0.2742952284265737,0.6794147804135182,16,phase2-selected
A_wrong,43,-0.5175058675366778,-1.24201739111612,16,phase2-selected
SUPPORTS,18,0.3067079650031196,5.269502745734321,16,phase2-selected
REFUTES,20,-0.17296299934387208,-5.678764724731446,16,phase2-selected
NOT_ENOUGH_INFO,23,-0.8171083616173785,2.61602376854938,16,phase2-selected
overall,61,-0.5996352336445793,-0.6130957681624616,24,phase2-selected
A_wrong,43,-2.1655802615853244,-5.559189108915107,24,phase2-selected
SUPPORTS,18,3.141233444213867,11.202571656968859,24,phase2-selected
REFUTES,20,-2.834616184234619,-11.115126895904542,24,phase2-selected
NOT_ENOUGH_INFO,23,-1.5838098940641985,-0.7279388593590778,24,phase2-selected
overall,61,-0.9254003978166424,-2.2529355658859505,32,phase2-selected
A_wrong,43,-3.021817739619765,-9.47318673688312,32,phase2-selected
SUPPORTS,18,4.082707696490818,14.995442231496176,32,phase2-selected
REFUTES,20,-4.804713773727417,-16.22425284385681,32,phase2-selected
NOT_ENOUGH_INFO,23,-1.4714733621348506,-3.6026944699494736,32,phase2-selected
