example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,3,A,16,19,-0.022852522427918482,I_real,0,phase2-selected
61,0,I_shuffle,1,1,0.01877157805395908,I_real,0,phase2-selected
61,5,I_zero,4,9,0.42971748602194865,I_real,0,phase2-selected
61,1,A,18,19,0.16652945221447554,I_real,2,phase2-selected
61,-2,I_shuffle,2,0,-0.38114297585409196,I_real,2,phase2-selected
61,3,I_zero,5,8,0.6190994606643426,I_real,2,phase2-selected
61,3,A,16,19,0.8151621740372454,I_real,4,phase2-selected
61,2,I_shuffle,1,3,0.007564497775718814,I_real,4,phase2-selected
61,5,I_zero,4,9,1.2677321824871126,I_real,4,phase2-selected
61,5,A,5,10,0.8223895401251121,I_real,8,phase2-selected
61,2,I_shuffle,7,9,-0.12098312377929688,I_real,8,phase2-selected
61,7,I_zero,7,14,1.2749595485749792,I_real,8,phase2-selected
61,-1,A,1,0,0.5462975580184186,I_real,12,phase2-selected
61,-2,I_shuffle,2,0,-0.07801266967273149,I_real,12,phase2-selected
61,1,I_zero,12,13,0.9988675664682858,I_real,12,phase2-selected
61,0,A,0,0,0.22684477196365108,I_real,16,phase2-selected
61,0,I_shuffle,0,0,-0.2742952284265737,I_real,16,phase2-selected
61,2,I_zero,12,14,0.6794147804135182,I_real,16,phase2-selected
61,0,A,0,0,-1.0656657766123288,I_real,24,phase2-selected
61,0,I_shuffle,0,0,-0.5996352336445793,I_real,24,phase2-selected
61,2,I_zero,12,14,-0.6130957681624616,I_real,24,phase2-selected
61,0,A,0,0,-2.7055055743358176,I_real,32,phase2-selected
61,0,I_shuffle,0,0,-0.9254003978166424,I_real,32,phase2-selected
61,2,I_zero,12,14,-2.2529355658859505,I_real,32,phase2-selected
