alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,0,phase2-selected,0.26229508196721313
I_real,0.9508196721311475,0.22588522588522586,-2.6970492816362226,0,phase2-selected,0.3442622950819672
I_shuffle,0.9508196721311475,0.22588522588522586,-2.7158208596901816,0,phase2-selected,0.3442622950819672
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,2,phase2-selected,0.26229508196721313
I_real,0.9836065573770492,0.1583333333333333,-2.5076673069938282,2,phase2-selected,0.3114754098360656
I_shuffle,0.9836065573770492,0.20175438596491227,-2.1265243311397364,2,phase2-selected,0.3442622950819672
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,4,phase2-selected,0.26229508196721313
I_real,0.8360655737704918,0.22602280348759227,-1.8590345851710586,4,phase2-selected,0.3442622950819672
I_shuffle,0.8360655737704918,0.1928236083165661,-1.8665990829467773,4,phase2-selected,0.3114754098360656
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,8,phase2-selected,0.26229508196721313
I_real,0.7049180327868853,0.3175150992234685,-1.851807219083192,8,phase2-selected,0.3770491803278688
I_shuffle,0.6885245901639344,0.29914529914529914,-1.7308240953038951,8,phase2-selected,0.3442622950819672
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,12,phase2-selected,0.26229508196721313
I_real,0.9836065573770492,0.1452991452991453,-2.1278992011898854,12,phase2-selected,0.2786885245901639
I_shuffle,0.9836065573770492,0.1855921855921856,-2.0498865315171537,12,phase2-selected,0.3114754098360656
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,16,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-2.447351987244653,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-2.1730567588180794,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,24,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-3.7398625358206328,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.1402273021760534,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,32,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-5.379702333544121,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.454301935727479,32,phase2-selected,0.29508196721311475
