bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,0.01877157805395908,0.42971748602194865,0,phase2-selected
A_wrong,43,-0.01682640785394713,1.4148110678029615,0,phase2-selected
SUPPORTS,18,0.10381121105617946,-1.9235616260104709,0,phase2-selected
REFUTES,20,0.11162047386169434,3.3508838176727296,0,phase2-selected
NOT_ENOUGH_INFO,23,-0.12851934847624405,-0.26873045382292376,0,phase2-selected
overall,61,0.033155691428262676,0.8582210853451588,2,phase2-selected
A_wrong,43,0.06478606822878816,1.674060156179029,2,phase2-selected
SUPPORTS,18,-0.04240576426188151,-1.0907278060913086,2,phase2-selected
REFUTES,20,-0.22539567947387695,1.601600742340088,2,phase2-selected
NOT_ENOUGH_INFO,23,0.3171180227528448,1.737068342125934,2,phase2-selected
overall,61,0.19169852772697074,1.3794751714487545,4,phase2-selected
A_wrong,43,0.12998288176780523,1.8733015725778979,4,phase2-selected
SUPPORTS,18,0.33913034862942165,0.19977876875135633,4,phase2-selected
REFUTES,20,-0.6421317100524903,0.1626291275024414,4,phase2-selected
NOT_ENOUGH_INFO,23,0.8013868746550187,3.3608428291652515,4,phase2-selected
overall,61,0.1278820819542056,1.4609626082123304,8,phase2-selected
A_wrong,43,0.0003671424333439317,1.055214992789335,8,phase2-selected
SUPPORTS,18,0.43250110414293075,2.430248578389486,8,phase2-selected
REFUTES,20,-0.5185909271240234,-2.337985897064209,8,phase2-selected
NOT_ENOUGH_INFO,23,0.4516350290049677,4.005824462227199,8,phase2-selected
overall,61,0.004696627132228163,1.2594357318565494,12,phase2-selected
A_wrong,43,-0.5063901058463163,-0.24545354621354923,12,phase2-selected
SUPPORTS,18,1.2256260448031955,4.854449007246229,12,phase2-selected
REFUTES,20,-1.197603130340576,-4.8709817886352536,12,phase2-selected
NOT_ENOUGH_INFO,23,0.09466469806173573,3.7767449254574985,12,phase2-selected
overall,61,-0.4018226998751281,0.6580746760133838,16,phase2-selected
A_wrong,43,-1.709576584572016,-2.2474490320959757,16,phase2-selected
SUPPORTS,18,2.7222560246785483,7.599047978719075,16,phase2-selected
REFUTES,20,-2.461180019378662,-7.522957611083984,16,phase2-selected
NOT_ENOUGH_INFO,23,-1.0560083803923235,2.3399497322414233,16,phase2-selected
overall,61,-1.559667212064149,-2.0378110916888126,24,phase2-selected
A_wrong,43,-3.9527549300082896,-8.285965010177257,24,phase2-selected
SUPPORTS,18,4.157153447469075,12.888334380255806,24,phase2-selected
REFUTES,20,-4.132736015319824,-13.395282649993897,24,phase2-selected
NOT_ENOUGH_INFO,23,-3.796249638433042,-3.8430801059888755,24,phase2-selected
overall,61,-1.6102518488149173,-4.0994638224117095,32,phase2-selected
A_wrong,43,-3.583341953366302,-12.073675909707713,32,phase2-selected
SUPPORTS,18,3.1032411787245007,14.950042830573189,32,phase2-selected
REFUTES,20,-2.8955023765563963,-15.792956638336182,32,phase2-selected
NOT_ENOUGH_INFO,23,-4.18146332450535,-8.83951875437861,32,phase2-selected
