example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,3,A,16,19,-0.022852522427918482,I_real,0,phase2-selected
61,0,I_shuffle,1,1,0.01877157805395908,I_real,0,phase2-selected
61,5,I_zero,4,9,0.42971748602194865,I_real,0,phase2-selected
61,2,A,17,19,0.4056510768952917,I_real,2,phase2-selected
61,1,I_shuffle,1,2,0.033155691428262676,I_real,2,phase2-selected
61,4,I_zero,5,9,0.8582210853451588,I_real,2,phase2-selected
61,3,A,15,18,0.9269051629988874,I_real,4,phase2-selected
61,1,I_shuffle,1,2,0.19169852772697074,I_real,4,phase2-selected
61,5,I_zero,5,10,1.3794751714487545,I_real,4,phase2-selected
61,5,A,4,9,1.0083925997624632,I_real,8,phase2-selected
61,-2,I_shuffle,6,4,0.1278820819542056,I_real,8,phase2-selected
61,7,I_zero,8,15,1.4609626082123304,I_real,8,phase2-selected
61,-1,A,1,0,0.8068657234066823,I_real,12,phase2-selected
61,-1,I_shuffle,1,0,0.004696627132228163,I_real,12,phase2-selected
61,1,I_zero,12,13,1.2594357318565494,I_real,12,phase2-selected
61,0,A,0,0,0.2055046675635166,I_real,16,phase2-selected
61,0,I_shuffle,0,0,-0.4018226998751281,I_real,16,phase2-selected
61,2,I_zero,12,14,0.6580746760133838,I_real,16,phase2-selected
61,0,A,0,0,-2.4903811001386797,I_real,24,phase2-selected
61,0,I_shuffle,0,0,-1.559667212064149,I_real,24,phase2-selected
61,2,I_zero,12,14,-2.0378110916888126,I_real,24,phase2-selected
61,0,A,0,0,-4.552033830861577,I_real,32,phase2-selected
61,0,I_shuffle,0,0,-1.6102518488149173,I_real,32,phase2-selected
61,2,I_zero,12,14,-4.0994638224117095,I_real,32,phase2-selected
