alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,0,phase2-selected,0.26229508196721313
I_real,0.9508196721311475,0.22588522588522586,-2.6970492816362226,0,phase2-selected,0.3442622950819672
I_shuffle,0.9508196721311475,0.22588522588522586,-2.7158208596901816,0,phase2-selected,0.3442622950819672
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,2,phase2-selected,0.26229508196721313
I_real,0.9672131147540983,0.19367088607594937,-2.2685456823130123,2,phase2-selected,0.32786885245901637
I_shuffle,0.9508196721311475,0.1855921855921856,-2.301701373741275,2,phase2-selected,0.3114754098360656
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,4,phase2-selected,0.26229508196721313
I_real,0.8524590163934426,0.24074074074074073,-1.7472915962094167,4,phase2-selected,0.3442622950819672
I_shuffle,0.7868852459016393,0.2077798861480076,-1.9389901239363874,4,phase2-selected,0.32786885245901637
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,8,phase2-selected,0.26229508196721313
I_real,0.6885245901639344,0.3094017094017094,-1.6658041594458408,8,phase2-selected,0.3770491803278688
I_shuffle,0.7049180327868853,0.34598792062122524,-1.7936862414000465,8,phase2-selected,0.4098360655737705
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,12,phase2-selected,0.26229508196721313
I_real,0.9836065573770492,0.1452991452991453,-1.8673310358016217,12,phase2-selected,0.2786885245901639
I_shuffle,1.0,0.1518987341772152,-1.87202766293385,12,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,16,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-2.468692091644787,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-2.0668693917696594,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,24,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-5.164577859346984,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.6049106472828347,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,32,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-7.22623059006988,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.615978741254962,32,phase2-selected,0.29508196721311475
