example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,3,A,16,19,-0.022852522427918482,I_real,0,phase2-selected
61,0,I_shuffle,1,1,0.01877157805395908,I_real,0,phase2-selected
61,5,I_zero,4,9,0.42971748602194865,I_real,0,phase2-selected
61,3,A,16,19,0.5125882821004899,I_real,2,phase2-selected
61,4,I_shuffle,0,4,0.2680162679953653,I_real,2,phase2-selected
61,5,I_zero,4,9,0.965158290550357,I_real,2,phase2-selected
61,3,A,15,18,0.5470646248489129,I_real,4,phase2-selected
61,-1,I_shuffle,3,2,-0.23307001395303695,I_real,4,phase2-selected
61,5,I_zero,4,9,0.9996346332987801,I_real,4,phase2-selected
61,4,A,10,14,0.8716410183515705,I_real,8,phase2-selected
61,6,I_shuffle,4,10,0.1143759117751825,I_real,8,phase2-selected
61,6,I_zero,5,11,1.3242110268014375,I_real,8,phase2-selected
61,0,A,1,1,0.5155302891965772,I_real,12,phase2-selected
61,0,I_shuffle,2,2,0.08709410370373336,I_real,12,phase2-selected
61,2,I_zero,12,14,0.9681002976464443,I_real,12,phase2-selected
61,0,A,0,0,0.2754401691624376,I_real,16,phase2-selected
61,0,I_shuffle,0,0,0.2241926036897253,I_real,16,phase2-selected
61,2,I_zero,12,14,0.7280101776123047,I_real,16,phase2-selected
61,0,A,0,0,-1.2512614453425173,I_real,24,phase2-selected
61,0,I_shuffle,0,0,0.04135849436775583,I_real,24,phase2-selected
61,2,I_zero,12,14,-0.7986914368926502,I_real,24,phase2-selected
61,0,A,0,0,-2.8422437886722753,I_real,32,phase2-selected
61,0,I_shuffle,0,0,0.9399259129508597,I_real,32,phase2-selected
61,2,I_zero,12,14,-2.389673780222408,I_real,32,phase2-selected
