alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,0,phase2-selected,0.26229508196721313
I_real,0.9508196721311475,0.22588522588522586,-2.6970492816362226,0,phase2-selected,0.3442622950819672
I_shuffle,0.9508196721311475,0.22588522588522586,-2.7158208596901816,0,phase2-selected,0.3442622950819672
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,2,phase2-selected,0.26229508196721313
I_real,0.9508196721311475,0.22588522588522586,-2.161608477107814,2,phase2-selected,0.3442622950819672
I_shuffle,0.9508196721311475,0.1452991452991453,-2.4296247451031796,2,phase2-selected,0.2786885245901639
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,4,phase2-selected,0.26229508196721313
I_real,0.819672131147541,0.24039408866995074,-2.127132134359391,4,phase2-selected,0.3442622950819672
I_shuffle,0.7704918032786885,0.26243781094527363,-1.8940621204063541,4,phase2-selected,0.36065573770491804
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,8,phase2-selected,0.26229508196721313
I_real,0.5081967213114754,0.3134920634920635,-1.8025557408567334,8,phase2-selected,0.36065573770491804
I_shuffle,0.7540983606557377,0.2098214285714286,-1.916931652631916,8,phase2-selected,0.26229508196721313
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,12,phase2-selected,0.26229508196721313
I_real,0.9672131147540983,0.1774891774891775,-2.1586664700117266,12,phase2-selected,0.29508196721311475
I_shuffle,0.9672131147540983,0.17893217893217894,-2.2457605737154602,12,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,16,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-2.3987565900458665,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-2.6229491937355918,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,24,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-3.925458204550821,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.966816698918577,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,32,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-5.516440547880579,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.456366460831439,32,phase2-selected,0.29508196721311475
