example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,3,A,16,19,-0.022852522427918482,I_real,0,phase2-selected
61,0,I_shuffle,1,1,0.01877157805395908,I_real,0,phase2-selected
61,5,I_zero,4,9,0.42971748602194865,I_real,0,phase2-selected
61,0,A,1,1,0.9215375399980389,I_real,8,phase2-selected
61,0,I_shuffle,1,1,0.37165801251520875,I_real,8,phase2-selected
61,2,I_zero,11,13,1.374107548447906,I_real,8,phase2-selected
61,0,A,0,0,-1.190594907666816,I_real,16,phase2-selected
61,0,I_shuffle,0,0,-0.5325188402269707,I_real,16,phase2-selected
61,2,I_zero,12,14,-0.7380248992169489,I_real,16,phase2-selected
61,0,A,0,0,-2.270936637628274,I_real,24,phase2-selected
61,0,I_shuffle,0,0,0.0005467367953941471,I_real,24,phase2-selected
61,2,I_zero,12,14,-1.8183666291784069,I_real,24,phase2-selected
61,0,A,0,0,-3.13385069956545,I_real,32,phase2-selected
61,0,I_shuffle,0,0,0.13927168142600138,I_real,32,phase2-selected
61,2,I_zero,12,14,-2.6812806911155826,I_real,32,phase2-selected
61,0,A,0,0,-3.8462302802038972,I_real,48,phase2-selected
61,0,I_shuffle,0,0,-0.04335041124312604,I_real,48,phase2-selected
61,2,I_zero,12,14,-3.3936602717540305,I_real,48,phase2-selected
61,0,A,3,3,-1.0928780133606957,I_real,64,phase2-selected
61,-3,I_shuffle,17,14,-0.9638970484499072,I_real,64,phase2-selected
61,2,I_zero,11,13,-0.6403080049108286,I_real,64,phase2-selected
