alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,0,phase2-selected,0.26229508196721313
I_real,0.9508196721311475,0.22588522588522586,-2.6970492816362226,0,phase2-selected,0.3442622950819672
I_shuffle,0.9508196721311475,0.22588522588522586,-2.7158208596901816,0,phase2-selected,0.3442622950819672
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,8,phase2-selected,0.26229508196721313
I_real,0.9672131147540983,0.1774891774891775,-1.752659219210265,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-2.124317231725474,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,16,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-3.86479166687512,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.332272826648149,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,24,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-4.945133396836578,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.9456801336319725,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,32,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-5.808047458773753,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.947319140199755,32,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,48,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,48,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,48,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-6.520427039412201,48,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.477076628169075,48,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,64,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,64,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,64,phase2-selected,0.26229508196721313
I_real,0.8852459016393442,0.21296296296296294,-3.767074772569,64,phase2-selected,0.29508196721311475
I_shuffle,0.9836065573770492,0.20175438596491227,-2.8031777241190925,64,phase2-selected,0.3442622950819672
