bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,0.01877157805395908,0.42971748602194865,0,phase2-selected
A_wrong,43,-0.01682640785394713,1.4148110678029615,0,phase2-selected
SUPPORTS,18,0.10381121105617946,-1.9235616260104709,0,phase2-selected
REFUTES,20,0.11162047386169434,3.3508838176727296,0,phase2-selected
NOT_ENOUGH_INFO,23,-0.12851934847624405,-0.26873045382292376,0,phase2-selected
overall,61,-0.09491326378994301,1.1117013399718239,8,phase2-selected
A_wrong,43,-0.004642597464627998,-0.2744122216867846,8,phase2-selected
SUPPORTS,18,-0.31055985556708443,4.422972626156277,8,phase2-selected
REFUTES,20,-0.22836751937866212,-5.293910264968872,8,phase2-selected
NOT_ENOUGH_INFO,23,0.18990081289540167,4.09036868551503,8,phase2-selected
overall,61,0.35919950829177605,-0.30607551824851115,16,phase2-selected
A_wrong,43,0.8625710731328919,-4.253135880758596,16,phase2-selected
SUPPORTS,18,-0.8432992299397787,9.123013125525581,16,phase2-selected
REFUTES,20,0.35642361640930176,-10.487177801132201,16,phase2-selected
NOT_ENOUGH_INFO,23,1.3026992963707966,1.1677701369575832,16,phase2-selected
overall,61,0.5411522896563421,-1.460225175638668,24,phase2-selected
A_wrong,43,1.1189742642779683,-7.0016627422598905,24,phase2-selected
SUPPORTS,18,-0.8392002052730985,11.777653455734253,24,phase2-selected
REFUTES,20,1.0130977630615234,-13.62889723777771,24,phase2-selected
NOT_ENOUGH_INFO,23,1.211040787074877,-1.2388501374617866,24,phase2-selected
overall,61,-0.14072042215065877,-2.753167269659824,32,phase2-selected
A_wrong,43,-0.3903323772341706,-9.939126358475797,32,phase2-selected
SUPPORTS,18,0.45557480388217503,14.413290553622776,32,phase2-selected
REFUTES,20,0.05144963264465332,-16.40525677204132,32,phase2-selected
NOT_ENOUGH_INFO,23,-0.7744906466940175,-4.316404259723166,32,phase2-selected
overall,61,-0.9089879090668725,-3.8800450270293187,48,phase2-selected
A_wrong,43,-2.03380133384882,-12.527180261390154,48,phase2-selected
SUPPORTS,18,1.7780663834677801,16.777000255054897,48,phase2-selected
REFUTES,20,-1.8606091499328614,-19.366678261756896,48,phase2-selected
NOT_ENOUGH_INFO,23,-2.1844032329061758,-6.5797906958538555,48,phase2-selected
overall,61,0.37919479119973104,-0.2725379349755459,64,phase2-selected
A_wrong,43,-0.16769551121911339,-3.367245873739553,64,phase2-selected
SUPPORTS,18,1.6856549580891926,7.120375474294026,64,phase2-selected
REFUTES,20,-1.6700554370880127,-6.728549814224243,64,phase2-selected
NOT_ENOUGH_INFO,23,1.13870442431906,-0.44437288201373554,64,phase2-selected
