alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,0,phase2-selected,0.26229508196721313
I_real,0.9508196721311475,0.22588522588522586,-2.6970492816362226,0,phase2-selected,0.3442622950819672
I_shuffle,0.9508196721311475,0.22588522588522586,-2.7158208596901816,0,phase2-selected,0.3442622950819672
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,8,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-2.0150654276863476,8,phase2-selected,0.29508196721311475
I_shuffle,0.9836065573770492,0.1452991452991453,-1.9201521638964043,8,phase2-selected,0.2786885245901639
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,16,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-3.4328422859066823,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.7920417941984583,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,24,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-4.586991943296839,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.128144232953181,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,32,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-5.879934037317995,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.739213615167336,32,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,48,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,48,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,48,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-7.00681179468749,48,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.097823885620618,48,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,64,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,64,phase2-selected,0.6721311475409836
I_zero,0.8032786885245902,0.2048309178743961,-3.126766767658171,64,phase2-selected,0.26229508196721313
I_real,1.0,0.1518987341772152,-3.399304702633717,64,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.778499493833448,64,phase2-selected,0.29508196721311475
