alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-8.953994938584625,0,phase2-selected,0.29508196721311475
I_real,1.0,0.1646090534979424,-4.584069767936331,0,phase2-selected,0.32786885245901637
I_shuffle,1.0,0.1646090534979424,-4.641551744742472,0,phase2-selected,0.32786885245901637
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-8.953994938584625,8,phase2-selected,0.29508196721311475
I_real,0.7868852459016393,0.24478178368121442,-2.8789349931185364,8,phase2-selected,0.3114754098360656
I_shuffle,0.8032786885245902,0.24637681159420288,-2.7099717093295737,8,phase2-selected,0.3114754098360656
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-8.953994938584625,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.580733592392968,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.507403010227641,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-8.953994938584625,24,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.19984046357577,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.6073526554420345,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-8.953994938584625,32,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.523611944229876,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.18023340819312,32,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,48,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,48,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-8.953994938584625,48,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-5.681122584421127,48,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.535750711550478,48,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,64,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,64,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-8.953994938584625,64,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.2377859021796556,64,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.2304977979816374,64,phase2-selected,0.29508196721311475
