bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,-0.7392180552248095,-0.10902037386034356,0,phase2-selected
A_wrong,43,-0.2838895930800327,0.7882634096367415,0,phase2-selected
SUPPORTS,18,-1.8269471592373319,-2.2525316344367132,0,phase2-selected
REFUTES,20,1.6610053539276124,2.3818352699279783,0,phase2-selected
NOT_ENOUGH_INFO,23,-1.9751025904779849,-0.5974512514860734,0,phase2-selected
overall,61,-0.34256627129726724,-0.2321905698932585,2,phase2-selected
A_wrong,43,-3.3474330680314885,-2.869538906008698,2,phase2-selected
SUPPORTS,18,6.835726632012261,6.068141566382514,2,phase2-selected
REFUTES,20,-7.407695245742798,-6.190949535369873,2,phase2-selected
NOT_ENOUGH_INFO,23,0.1832296951957371,0.01864424995754076,2,phase2-selected
overall,61,-0.14187400849139103,-0.5599745687891226,4,phase2-selected
A_wrong,43,-2.7872507849404977,-3.7751114645669626,4,phase2-selected
SUPPORTS,18,6.177637179692586,7.120630237791273,4,phase2-selected
REFUTES,20,-6.435308313369751,-7.66620512008667,4,phase2-selected
NOT_ENOUGH_INFO,23,0.38497315282407013,-0.39155176411504333,4,phase2-selected
overall,61,-0.2995056246147781,-1.0136137321347096,8,phase2-selected
A_wrong,43,-2.4177546390267306,-5.0143606718196425,8,phase2-selected
SUPPORTS,18,4.760755909813775,8.543726179334852,8,phase2-selected
REFUTES,20,-4.616843628883362,-9.451479315757751,8,phase2-selected
NOT_ENOUGH_INFO,23,-0.5055033434992251,-1.1559966336125913,8,phase2-selected
overall,61,-1.2478575471971856,-1.3497826466794873,12,phase2-selected
A_wrong,43,-3.176295280456543,-5.8683012807092005,12,phase2-selected
SUPPORTS,18,3.358965926700168,9.444456312391493,12,phase2-selected
REFUTES,20,-4.794655823707581,-10.731676077842712,12,phase2-selected
NOT_ENOUGH_INFO,23,-1.769025242846945,-1.6392797179844067,12,phase2-selected
overall,61,-1.745776731459821,-1.5828048127596495,16,phase2-selected
A_wrong,43,-3.7125555193701456,-6.47707627540411,16,phase2-selected
SUPPORTS,18,2.9526392618815103,10.10906590355767,16,phase2-selected
REFUTES,20,-4.527452683448791,-11.527078557014466,16,phase2-selected
NOT_ENOUGH_INFO,23,-3.0039492897365405,-2.0857699435690176,16,phase2-selected
overall,61,-1.7650493246610048,-1.9103405045681312,24,phase2-selected
A_wrong,43,-3.7436591303625772,-7.233722631321397,24,phase2-selected
SUPPORTS,18,2.9616296556260853,10.806627909342447,24,phase2-selected
REFUTES,20,-3.8617425680160524,-12.355928325653077,24,phase2-selected
NOT_ENOUGH_INFO,23,-3.6409778802291206,-2.779630723206893,24,phase2-selected
overall,61,-1.7087221536480013,-2.1700786449870124,32,phase2-selected
A_wrong,43,-3.619335507237634,-7.748439955156903,32,phase2-selected
SUPPORTS,18,2.8555208577050104,11.156006707085503,32,phase2-selected
REFUTES,20,-3.5738510131835937,-13.078436970710754,32,phase2-selected
NOT_ENOUGH_INFO,23,-3.658887241197669,-3.113659941631815,32,phase2-selected
