example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,0,A,6,6,-0.22862812730132556,I_real,0,phase2-selected
61,0,I_shuffle,6,6,-0.7392180552248095,I_real,0,phase2-selected
61,0,I_zero,6,6,-0.10902037386034356,I_real,0,phase2-selected
61,0,A,0,0,-0.35179832333424055,I_real,2,phase2-selected
61,-1,I_shuffle,3,2,-0.34256627129726724,I_real,2,phase2-selected
61,0,I_zero,0,0,-0.2321905698932585,I_real,2,phase2-selected
61,0,A,0,0,-0.6795823222301045,I_real,4,phase2-selected
61,1,I_shuffle,1,2,-0.14187400849139103,I_real,4,phase2-selected
61,0,I_zero,0,0,-0.5599745687891226,I_real,4,phase2-selected
61,0,A,0,0,-1.1332214855756917,I_real,8,phase2-selected
61,0,I_shuffle,0,0,-0.2995056246147781,I_real,8,phase2-selected
61,0,I_zero,0,0,-1.0136137321347096,I_real,8,phase2-selected
61,0,A,0,0,-1.4693904001204694,I_real,12,phase2-selected
61,0,I_shuffle,0,0,-1.2478575471971856,I_real,12,phase2-selected
61,0,I_zero,0,0,-1.3497826466794873,I_real,12,phase2-selected
61,0,A,0,0,-1.7024125662006315,I_real,16,phase2-selected
61,0,I_shuffle,0,0,-1.745776731459821,I_real,16,phase2-selected
61,0,I_zero,0,0,-1.5828048127596495,I_real,16,phase2-selected
61,0,A,0,0,-2.0299482580091133,I_real,24,phase2-selected
61,0,I_shuffle,0,0,-1.7650493246610048,I_real,24,phase2-selected
61,0,I_zero,0,0,-1.9103405045681312,I_real,24,phase2-selected
61,0,A,0,0,-2.2896863984279947,I_real,32,phase2-selected
61,0,I_shuffle,0,0,-1.7087221536480013,I_real,32,phase2-selected
61,0,I_zero,0,0,-2.1700786449870124,I_real,32,phase2-selected
