alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-2.793804512649286,0,phase2-selected,0.29508196721311475
I_real,0.7868852459016393,0.24242424242424243,-2.9028248865096296,0,phase2-selected,0.29508196721311475
I_shuffle,0.9016393442622951,0.18089216719353704,-2.1636068312848202,0,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-2.793804512649286,2,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.0259950825425443,2,phase2-selected,0.29508196721311475
I_shuffle,0.9180327868852459,0.22414414414414416,-2.6834288112452773,2,phase2-selected,0.3114754098360656
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-2.793804512649286,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.3537790814384083,4,phase2-selected,0.29508196721311475
I_shuffle,0.9508196721311475,0.16933638443935928,-3.2119050729470175,4,phase2-selected,0.2786885245901639
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-2.793804512649286,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-3.8074182447839955,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.5079126201692175,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-2.793804512649286,12,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.143587159328773,12,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-2.895729612131588,12,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-2.793804512649286,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.3766093254089355,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-2.6308325939491146,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-2.793804512649286,24,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.704145017217417,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-2.9390956925564127,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-2.793804512649286,32,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-4.963883157636299,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.2551610039882974,32,phase2-selected,0.29508196721311475
