bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,-0.1304831661161829,-3.8599278731424302,0,phase2-selected
A_wrong,43,-0.16500107077665108,-13.640902729921562,0,phase2-selected
SUPPORTS,18,-0.048023727205064565,19.50573428471883,0,phase2-selected
REFUTES,20,-0.05488443374633789,-21.480860590934753,0,phase2-selected
NOT_ENOUGH_INFO,23,-0.2607546681943147,-6.823548068170962,0,phase2-selected
overall,61,0.061542667326379995,-3.6845214093317753,2,phase2-selected
A_wrong,43,0.15288085715715274,-13.373891575391902,2,phase2-selected
SUPPORTS,18,-0.15665411949157715,19.462307320700752,2,phase2-selected
REFUTES,20,-0.07385661602020263,-21.390764951705933,2,phase2-selected
NOT_ENOUGH_INFO,23,0.3500438773113748,-6.402697335118833,2,phase2-selected
overall,61,0.20871239021176197,-3.5763385803973087,4,phase2-selected
A_wrong,43,0.2621996236401935,-13.250699398129486,4,phase2-selected
SUPPORTS,18,0.08093733257717556,19.534634484185112,4,phase2-selected
REFUTES,20,0.03975670337677002,-21.314419507980347,4,phase2-selected
NOT_ENOUGH_INFO,23,0.4556282499562139,-6.238768867824389,4,phase2-selected
overall,61,0.01933405047557393,-3.8462813252308328,8,phase2-selected
A_wrong,43,0.041407607322515444,-13.641814985940623,8,phase2-selected
SUPPORTS,18,-0.03339722421434191,19.554160197575886,8,phase2-selected
REFUTES,20,0.04169604778289795,-21.35960457324982,8,phase2-selected
NOT_ENOUGH_INFO,23,0.04115678953087848,-6.930693605671758,8,phase2-selected
overall,61,0.19014235011866834,-3.760434760422003,12,phase2-selected
A_wrong,43,0.2874493709830351,-13.4974484887234,12,phase2-selected
SUPPORTS,18,-0.04231331083509657,19.50020914607578,12,phase2-selected
REFUTES,20,0.1223494291305542,-21.292703413963316,12,phase2-selected
NOT_ENOUGH_INFO,23,0.4310145378112793,-6.718965945036515,12,phase2-selected
overall,61,-0.17185475396328284,-3.86723388609339,16,phase2-selected
A_wrong,43,-0.12513506689737008,-13.652033506437789,16,phase2-selected
SUPPORTS,18,-0.28346289528740776,19.507565206951565,16,phase2-selected
REFUTES,20,-0.018958258628845214,-21.387960863113403,16,phase2-selected
NOT_ENOUGH_INFO,23,-0.21746272626130478,-6.925140152806821,16,phase2-selected
