example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,0,A,0,0,-4.334546300231433,I_real,0,phase2-selected
61,0,I_shuffle,0,0,-0.1304831661161829,I_real,0,phase2-selected
61,0,I_zero,0,0,-3.8599278731424302,I_real,0,phase2-selected
61,0,A,0,0,-4.159139836420779,I_real,2,phase2-selected
61,0,I_shuffle,0,0,0.061542667326379995,I_real,2,phase2-selected
61,0,I_zero,0,0,-3.6845214093317753,I_real,2,phase2-selected
61,0,A,0,0,-4.050957007486312,I_real,4,phase2-selected
61,0,I_shuffle,0,0,0.20871239021176197,I_real,4,phase2-selected
61,0,I_zero,0,0,-3.5763385803973087,I_real,4,phase2-selected
61,0,A,0,0,-4.3208997523198365,I_real,8,phase2-selected
61,0,I_shuffle,0,0,0.01933405047557393,I_real,8,phase2-selected
61,0,I_zero,0,0,-3.8462813252308328,I_real,8,phase2-selected
61,0,A,0,0,-4.2350531875110065,I_real,12,phase2-selected
61,0,I_shuffle,0,0,0.19014235011866834,I_real,12,phase2-selected
61,0,I_zero,0,0,-3.760434760422003,I_real,12,phase2-selected
61,0,A,0,0,-4.341852313182393,I_real,16,phase2-selected
61,0,I_shuffle,0,0,-0.17185475396328284,I_real,16,phase2-selected
61,0,I_zero,0,0,-3.86723388609339,I_real,16,phase2-selected
