alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,0,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.0087430594397375,0,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.878259893323555,0,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,2,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.833336595629082,2,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.894879262955462,2,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.725153766694616,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.933866156906378,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.99509651152814,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-7.014430562003714,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,12,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.90924994671931,12,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-7.099392296837979,12,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.016049072390697,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.844194318427414,16,phase2-selected,0.29508196721311475
