bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,-0.0560895028661509,-3.906559522034692,0,phase2-selected
A_wrong,43,-0.06926522144051485,-13.67097031792929,0,phase2-selected
SUPPORTS,18,-0.02461417516072591,19.419532934824627,0,phase2-selected
REFUTES,20,-0.11477115154266357,-21.489666652679443,0,phase2-selected
NOT_ENOUGH_INFO,23,-0.0296948474386464,-6.872103939885679,0,phase2-selected
overall,61,-0.1082349058057441,-3.8873144759506477,2,phase2-selected
A_wrong,43,-0.12810748122459234,-13.637905187385027,2,phase2-selected
SUPPORTS,18,-0.06076153119405111,19.405763334698147,2,phase2-selected
REFUTES,20,-0.12974698543548585,-21.428300619125366,2,phase2-selected
NOT_ENOUGH_INFO,23,-0.12668182538903278,-6.863648290219515,2,phase2-selected
overall,61,-0.0982249056706663,-3.834974570352523,4,phase2-selected
A_wrong,43,-0.128717023272847,-13.597537151602811,4,phase2-selected
SUPPORTS,18,-0.02538262473212348,19.48670270707872,4,phase2-selected
REFUTES,20,0.006611537933349609,-21.26739869117737,4,phase2-selected
NOT_ENOUGH_INFO,23,-0.24639403301736582,-6.928092334581458,4,phase2-selected
overall,61,-0.09414382840766282,-3.85284652866301,8,phase2-selected
A_wrong,43,-0.1575451008109159,-13.627049579176791,8,phase2-selected
SUPPORTS,18,0.057314766777886286,19.496638536453247,8,phase2-selected
REFUTES,20,-0.12731289863586426,-21.46219515800476,8,phase2-selected
NOT_ENOUGH_INFO,23,-0.1838339722674826,-6.813879510630732,8,phase2-selected
overall,61,-0.1110718523869749,-3.882328565003442,12,phase2-selected
A_wrong,43,-0.07687777142192043,-13.635808124098666,12,phase2-selected
SUPPORTS,18,-0.1927577124701606,19.41765038172404,12,phase2-selected
REFUTES,20,0.12067716121673584,-21.299843525886537,12,phase2-selected
NOT_ENOUGH_INFO,23,-0.24866466936857803,-6.971429513848347,12,phase2-selected
overall,61,-0.1519077488633453,-3.992315065665323,16,phase2-selected
A_wrong,43,-0.17039374418036882,-13.838515636532806,16,phase2-selected
SUPPORTS,18,-0.10774676005045573,19.52916407585144,16,phase2-selected
REFUTES,20,-0.0532341480255127,-21.45580439567566,16,phase2-selected
NOT_ENOUGH_INFO,23,-0.2722716538802437,-7.214786280756411,16,phase2-selected
