example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,0,A,0,0,-4.381177949123695,I_real,0,phase2-selected
61,0,I_shuffle,0,0,-0.0560895028661509,I_real,0,phase2-selected
61,0,I_zero,0,0,-3.906559522034692,I_real,0,phase2-selected
61,0,A,0,0,-4.3619329030396505,I_real,2,phase2-selected
61,0,I_shuffle,0,0,-0.1082349058057441,I_real,2,phase2-selected
61,0,I_zero,0,0,-3.8873144759506477,I_real,2,phase2-selected
61,0,A,0,0,-4.309592997441526,I_real,4,phase2-selected
61,0,I_shuffle,0,0,-0.0982249056706663,I_real,4,phase2-selected
61,0,I_zero,0,0,-3.834974570352523,I_real,4,phase2-selected
61,0,A,0,0,-4.3274649557520135,I_real,8,phase2-selected
61,0,I_shuffle,0,0,-0.09414382840766282,I_real,8,phase2-selected
61,0,I_zero,0,0,-3.85284652866301,I_real,8,phase2-selected
61,0,A,0,0,-4.356946992092445,I_real,12,phase2-selected
61,0,I_shuffle,0,0,-0.1110718523869749,I_real,12,phase2-selected
61,0,I_zero,0,0,-3.882328565003442,I_real,12,phase2-selected
61,0,A,0,0,-4.466933492754326,I_real,16,phase2-selected
61,0,I_shuffle,0,0,-0.1519077488633453,I_real,16,phase2-selected
61,0,I_zero,0,0,-3.992315065665323,I_real,16,phase2-selected
