alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,0,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.055374708331999,0,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.999285205465848,0,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,2,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.036129662247955,2,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.92789475644221,2,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,4,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-6.983789756649831,4,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.885564850979164,4,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,8,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.001661714960317,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.907517886552655,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,12,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.031143751300749,12,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.920071898913775,12,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,1.0,0.1518987341772152,-3.1488151862973073,16,phase2-selected,0.29508196721311475
I_real,1.0,0.1518987341772152,-7.141130251962631,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.989222503099286,16,phase2-selected,0.29508196721311475
