bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,-0.028541424235359568,0.015230413343085617,0,phase2-selected
A_wrong,43,-0.0031576821970385176,0.7247262999068859,0,phase2-selected
SUPPORTS,18,-0.08918036354912652,-1.6796764267815485,0,phase2-selected
REFUTES,20,-0.05212106704711914,1.4768180847167969,0,phase2-selected
NOT_ENOUGH_INFO,23,0.03941917419433594,0.07073344355044157,0,phase2-selected
overall,61,-0.012873649597167969,-0.2724258547923604,2,phase2-selected
A_wrong,43,0.004146088001339934,-0.08907020923703216,2,phase2-selected
SUPPORTS,18,-0.05353191163804796,-0.7104421191745334,2,phase2-selected
REFUTES,20,0.2809135437011719,0.40943288803100586,2,phase2-selected
NOT_ENOUGH_INFO,23,-0.23652126478112262,-0.5225511633831522,2,phase2-selected
overall,61,-0.0292656382576364,-0.4341475377317335,4,phase2-selected
A_wrong,43,-0.04184470065804415,-0.7804698944091797,4,phase2-selected
SUPPORTS,18,0.0007843441433376736,0.3931780921088325,4,phase2-selected
REFUTES,20,0.46339073181152346,-0.9025827407836914,4,phase2-selected
NOT_ENOUGH_INFO,23,-0.48117985932723334,-0.6742848106052565,4,phase2-selected
overall,61,0.14606432054863602,-0.729839919043369,8,phase2-selected
A_wrong,43,0.10239295072333757,-1.8927602546159612,8,phase2-selected
SUPPORTS,18,0.25039037068684894,2.0482475492689343,8,phase2-selected
REFUTES,20,0.23925485610961914,-3.2140254020690917,8,phase2-selected
NOT_ENOUGH_INFO,23,-0.016617401786472485,-0.7438340394393258,8,phase2-selected
overall,61,0.42503893179971663,-1.5134259051963932,12,phase2-selected
A_wrong,43,0.1852503266445426,-3.968426460443541,12,phase2-selected
SUPPORTS,18,0.9978672663370768,4.351297643449572,12,phase2-selected
REFUTES,20,0.2758646488189697,-5.593886852264404,12,phase2-selected
NOT_ENOUGH_INFO,23,0.10645526388417119,-2.5549826414688774,12,phase2-selected
overall,61,0.5032170248813317,-1.9940821225525902,16,phase2-selected
A_wrong,43,0.3755364750706872,-5.474714456602585,16,phase2-selected
SUPPORTS,18,0.8082316716512045,6.32076178656684,16,phase2-selected
REFUTES,20,0.3510717868804932,-7.522671222686768,16,phase2-selected
NOT_ENOUGH_INFO,23,0.3968101169752038,-3.693882486094599,16,phase2-selected
overall,61,0.7209296617351595,-2.6826404665337233,24,phase2-selected
A_wrong,43,0.5637675218803938,-7.818402157273403,24,phase2-selected
SUPPORTS,18,1.0963725513882108,9.586123572455513,24,phase2-selected
REFUTES,20,0.2604769229888916,-10.218797063827514,24,phase2-selected
NOT_ENOUGH_INFO,23,0.8274984774382218,-5.731102238530698,24,phase2-selected
overall,61,0.08544305895195632,-4.101163598357654,32,phase2-selected
A_wrong,43,-0.5252211814702943,-11.048363042432209,32,phase2-selected
SUPPORTS,18,1.544252077738444,12.494923962487114,32,phase2-selected
REFUTES,20,-0.2963682174682617,-13.204642963409423,32,phase2-selected
NOT_ENOUGH_INFO,23,-0.7242237588633662,-9.173337024191152,32,phase2-selected
