example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,5,A,7,12,0.4916498778296299,I_real,0,phase2-selected
61,0,I_shuffle,0,0,-0.028541424235359568,I_real,0,phase2-selected
61,6,I_zero,6,12,0.015230413343085617,I_real,0,phase2-selected
61,4,A,0,4,0.20399360969418384,I_real,2,phase2-selected
61,2,I_shuffle,0,2,-0.012873649597167969,I_real,2,phase2-selected
61,5,I_zero,1,6,-0.2724258547923604,I_real,2,phase2-selected
61,1,A,0,1,0.04227192675481077,I_real,4,phase2-selected
61,0,I_shuffle,1,1,-0.0292656382576364,I_real,4,phase2-selected
61,2,I_zero,1,3,-0.4341475377317335,I_real,4,phase2-selected
61,0,A,0,0,-0.2534204545568247,I_real,8,phase2-selected
61,0,I_shuffle,0,0,0.14606432054863602,I_real,8,phase2-selected
61,1,I_zero,1,2,-0.729839919043369,I_real,8,phase2-selected
61,0,A,0,0,-1.037006440709849,I_real,12,phase2-selected
61,0,I_shuffle,0,0,0.42503893179971663,I_real,12,phase2-selected
61,1,I_zero,1,2,-1.5134259051963932,I_real,12,phase2-selected
61,0,A,0,0,-1.517662658066046,I_real,16,phase2-selected
61,0,I_shuffle,0,0,0.5032170248813317,I_real,16,phase2-selected
61,1,I_zero,1,2,-1.9940821225525902,I_real,16,phase2-selected
61,0,A,0,0,-2.206221002047179,I_real,24,phase2-selected
61,0,I_shuffle,0,0,0.7209296617351595,I_real,24,phase2-selected
61,1,I_zero,1,2,-2.6826404665337233,I_real,24,phase2-selected
61,0,A,0,0,-3.62474413387111,I_real,32,phase2-selected
61,0,I_shuffle,0,0,0.08544305895195632,I_real,32,phase2-selected
61,1,I_zero,1,2,-4.101163598357654,I_real,32,phase2-selected
