alias,dominant_label_fraction,macro_f1,mean_margin,step,suite,task_score
A,1.0,0.1518987341772152,-2.674196759208304,0,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,0,phase2-selected,0.6721311475409836
I_zero,0.9344262295081968,0.17,-2.1977772947217598,0,phase2-selected,0.2786885245901639
I_real,0.6557377049180327,0.32155873282870756,-2.182546881378674,0,phase2-selected,0.3770491803278688
I_shuffle,0.6557377049180327,0.32155873282870756,-2.1540054571433145,0,phase2-selected,0.3770491803278688
A,1.0,0.1518987341772152,-2.674196759208304,2,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,2,phase2-selected,0.6721311475409836
I_zero,0.9344262295081968,0.17,-2.1977772947217598,2,phase2-selected,0.2786885245901639
I_real,0.9016393442622951,0.2669476642079382,-2.4702031495141203,2,phase2-selected,0.36065573770491804
I_shuffle,0.9508196721311475,0.21586575133485889,-2.4573294999169524,2,phase2-selected,0.32786885245901637
A,1.0,0.1518987341772152,-2.674196759208304,4,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,4,phase2-selected,0.6721311475409836
I_zero,0.9344262295081968,0.17,-2.1977772947217598,4,phase2-selected,0.2786885245901639
I_real,0.9836065573770492,0.1855921855921856,-2.6319248324534934,4,phase2-selected,0.3114754098360656
I_shuffle,0.9672131147540983,0.18614718614718614,-2.602659194195857,4,phase2-selected,0.3114754098360656
A,1.0,0.1518987341772152,-2.674196759208304,8,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,8,phase2-selected,0.6721311475409836
I_zero,0.9344262295081968,0.17,-2.1977772947217598,8,phase2-selected,0.2786885245901639
I_real,1.0,0.1518987341772152,-2.927617213765129,8,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-3.073681534313765,8,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,12,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,12,phase2-selected,0.6721311475409836
I_zero,0.9344262295081968,0.17,-2.1977772947217598,12,phase2-selected,0.2786885245901639
I_real,1.0,0.1518987341772152,-3.711203199918153,12,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.13624213171787,12,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,16,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,16,phase2-selected,0.6721311475409836
I_zero,0.9344262295081968,0.17,-2.1977772947217598,16,phase2-selected,0.2786885245901639
I_real,1.0,0.1518987341772152,-4.19185941727435,16,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-4.695076442155682,16,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,24,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,24,phase2-selected,0.6721311475409836
I_zero,0.9344262295081968,0.17,-2.1977772947217598,24,phase2-selected,0.2786885245901639
I_real,1.0,0.1518987341772152,-4.880417761255483,24,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-5.601347422990643,24,phase2-selected,0.29508196721311475
A,1.0,0.1518987341772152,-2.674196759208304,32,phase2-selected,0.29508196721311475
T,0.6065573770491803,0.6238665727037821,0.8212915175273771,32,phase2-selected,0.6721311475409836
I_zero,0.9344262295081968,0.17,-2.1977772947217598,32,phase2-selected,0.2786885245901639
I_real,1.0,0.1518987341772152,-6.298940893079414,32,phase2-selected,0.29508196721311475
I_shuffle,1.0,0.1518987341772152,-6.38438395203137,32,phase2-selected,0.29508196721311475
